"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Urban planning & rural planning","general term","011693356","Monograph","Language material ; Text","Volume","","9781855222908","Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Atkinson, Nick [person]","Dartmoor National Park Local Plan including minerals and waste policies : deposit version","","","","","","Dartmoor National Park Authority","1993","","","307.12 ; 577 ; 790 ; 796 ; 910","OP-LG/7550","","English",""
"Urban planning & rural planning","general term","011694364","Monograph","Language material ; Text","Volume","","9780905455334","O'Riordan, Timothy","","person","","Shadrake, Ann [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation] ; Wood, Christopher [person] ; O'Riordan, Timothy [person]","Landscapes for tomorrow : interpreting landscape futures in the Yorkshire Dales National Park","","Yorkshire Dales National Park technical series","","","","Yorkshire Dales National Park Committee","1992","","","307.12 ; 720","q94/08044","","",""
"Urban planning & rural planning","general term","011701394","Monograph","Language material ; Text","Volume","","","Dartmoor National Park Authority","","organisation","","Dartmoor National Park Authority [organisation]","Dartmoor National Park local plan including minerals and waste policies : revision of deposit version","","","","","","Dartmoor National Park Authority","1994","","","307.12","OP-LG/7771","","English",""
"Urban planning & rural planning","general term","011701553","Monograph","Language material ; Text","Volume","","9781855223080","Devon (England), County Council","","organisation","","Dartmoor National Park Authority [organisation] ; Devon (England), County Council [organisation]","Dartmoor National Park : draft traffic management strategy; consultation document","","","","","","Devon, County Council","1993","","","307.12","OP-LG/7757","","English",""
"Urban planning & rural planning","general term","011704619","Monograph","Language material ; Text","Online resource","","","Reynolds, Shelagh Lindsay","","person","","Reynolds, Shelagh Lindsay [person]","Agriculture, landscape change and planning in the Lake District National Park since 1945","","","","","","University of Lancaster","1988","","","307.12 ; 630","360460","","English",""
"Urban planning & rural planning","general term","011718772","Monograph","Language material ; Text","Volume","","9780946463381","Council for National Parks","","organisation","","Council for National Parks [organisation]","South Downs National Park : opportunities for enhancement","","","","","","Council for National Parks","2001","","","307.12","m02/10980","","English",""
"Urban planning & rural planning","general term","011719423","Monograph","Language material ; Text","Volume","","9781898655558","Woodward, Rachel","","person","","Woodward, Rachel [person] ; University of Newcastle upon Tyne, Centre for Rural Economy [organisation]","Defended territory : the Otterburn Training Area and the 1997 Public Inquiry","","Research report","","","","University of Newcastle upon Tyne, Centre for Rural Economy","1998","","","307.12 ; 355 ; 577","m02/12068","","English",""
"Urban planning & rural planning","general term","012330002","Monograph","Language material ; Text","Volume","","","","","","","South Yorkshire County Council [organisation]","Development plan scheme for South Yorkshire : Excluding the area of the County within the Peak District National Park","","","","England","Barnsley","South Yorkshire County Council","1980","","","307.12","OP-LG/3224","","English",""
"Urban planning & rural planning","general term","012335315","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Functional strategies : 1987-1992","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","307.12 ; 790 ; 796 ; 910","OP-LG/4486","","English",""
"Urban planning & rural planning","general term","012335316","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast National Park plan : First review and policies for 1982-1987","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1985","","","307.12 ; 790 ; 796 ; 910","OP-LG/4484","","English",""
"Urban planning & rural planning","general term","012346623","Monograph","Language material ; Text","Volume","","9780905293080","","","","","Brecon Beacons National Park Committee [organisation]","Building design : A guide for developers","","","","Wales","Brecon","Brecon Beacons National Park Committee","1988","","","307.12 ; 720","OP/LG-5442","","English",""
"Urban planning & rural planning","general term","012353884","Monograph","Language material ; Text","Volume","","9780907480327","Statham, Derek","","person","","Statham, Derek [person] ; North York Moors National Park [organisation]","North York Moors National Park plan : second review","","","","","","North York Moors National Park","1991","","","307.12","GPC/05034","","English",""
"Urban planning & rural planning","general term","012354074","Monograph","Language material ; Text","Volume","","","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors local plan","","","","","","North York Moors National Park","1991","","","307.12","fGPC/097","","English",""
"Urban planning & rural planning","general term","012359328","Monograph","Language material ; Text","Volume","","9781855223837","Chorlton, Edward","","person","","Dartmoor National Park Authority [organisation] ; Chorlton, Edward [person] ; Atkinson, Nick [person] ; Devon (England), County Council [organisation]","Dartmoor National Park : traffic management strategy","","","","","","Devon, County Council","1994","","","307.12 ; 790 ; 796 ; 910","OP-LG/7981","","English",""
"Urban planning & rural planning","general term","012364972","Monograph","Language material ; Text","Volume","","","Oxford Centre for Tourism and Leisure Studies","","organisation","","Oxford Centre for Tourism and Leisure Studies [organisation]","North York Moors National Park : Impact of Car Usage Study 1995/95","","","","","","Oxford Centre for Tourism & Leisure Studies","1996","","","307.12 ; 790 ; 796 ; 910","98/11730","","English",""
"Urban planning & rural planning","general term","012369582","Monograph","Language material ; Text","Volume","","9780907480754","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors National Park : management plan","","","","","","North York Moors National Park","1998","","","307.12 ; 910","GPE/3598","","English",""
"Usk (Wales)--Guidebooks","geographical term","014918148","Monograph","Language material ; Text","Volume","GBA958378","9781906641047","Andrews, Nigel","1953-","person","","Andrews, Nigel, 1953- [person]","The Bristol to Brecon walk : via Chepstow, Usk, Abergavenny, Crickhowell and Talybont","","","","United Kingdom Miscellaneous Islands","St Helier, Jersey","ELSP","2008","","79 pages, illustrations, maps, 22 cm","914.29980486","m09/.24567","Guidebook","English",""
"Vacation homes--England--Peak District National Park","general term","010120156","Monograph","Language material ; Text","Volume","GB8608310","9780861701438","","","","","Great Britain, Countryside Commission [organisation]","Camping barns in the Peak District : an experiment in the conversion of disused farm buildings for visitor use","","CCP","203 [CCP]","England","Cheltenham","Countryside Commission","1986","","44 pages, illustrations, 30 cm","690.8922","BS.116/51 (203)","","English",""
"Vacations--England--Broads, The","general term","000369545","Serial","Language material ; Text","Volume","","","","","","","Blakes (Norfolk Broads Holidays) (Firm) [organisation]","Norfolk Broads Holidays Afloat","Norfolk Broads holidays afloat","","","England","London","Blake","1926-","","volumes, illustrations, 35 cm","797.1094261","W.P.9706","Periodical","English","Continues: Yachting Holidays ; Latest issue consulted: 1974 ; The 1928 issue is of the second edition"
"Vacations--England--Broads, The","general term","014467426","Monograph","Language material ; Text","Volume","","","","","","","Blakes (Norfolk Broads Holidays) (Firm) [organisation]","Blakes adventure holidays on the Norfolk Broads","","","","England","Wroxham, Norfolk","Blakes ; Norfolk Broads Holidays","1970","","103 pages, illustrations (chiefly colour), colour maps, colour portraits, 30 cm","","YD.2008.b.214","","English","'Wonderful holidays afloat for 1970.' ; Includes index"
"Vacations--Scotland--Loch Lomond and the Trossachs National Park--Fiction","general term","014542776","Monograph","Language material ; Text","Volume","GBA827384","9780571236497","FitzGerald, Helen","1966-","person","","FitzGerald, Helen, 1966- [person]","Dead lovely","","","","England","London","Faber & Faber","2008","","298 pages, 22 cm","823.92","H.2008/4256","Fiction","English",""
"Vacations--Scotland--Loch Lomond and the Trossachs National Park--Fiction","general term","014794203","Monograph","Language material ; Text","Volume","GBA8C6320","9780571236503","Fitzgerald, Helen","","person","","Fitzgerald, Helen [person]","Dead lovely","","","","England","London","Faber","2009","","1 volume, 20 cm","823.92","","Fiction","English","Originally published: Australia: Allen & Unwin, 2007; London: Faber, 2008"
"Vacations--Scotland--Loch Lomond and the Trossachs National Park--Fiction","general term","014889676","Monograph","Language material ; Text","Volume","GBA908648","9781847826268","FitzGerald, Helen","1966-","person","","FitzGerald, Helen, 1966- [person]","Dead lovely","","","","England","Leicester","Ulverscroft","2009","","1 volume (large print), 24 cm","823.92","","Fiction ; Large print","English","Originally published: Australia: Allen & Unwin, 2007; London: Faber, 2008"
"Vacations--Scotland--Loch Lomond and the Trossachs National Park--Fiction","general term","016774336","Monograph","Language material ; Text","Volume","GBB467926","9780571317318","FitzGerald, Helen","1966-","person","author","FitzGerald, Helen, 1966-, author [person]","Dead lovely","","","","England","London","Faber & Faber","2014","","298 pages, 20 cm","823.92","","Fiction","English","Originally published: Australia: Allen & Unwin, 2007"
"Valleys--Scotland--Cairngorms National Park--History","general term","016446432","Monograph","Language material ; Text","Volume","GBB3A5099","9780956878618","Marshall, Meryl M.","","person","author","North of Scotland Archaeological Society [organisation] ; Marshall, Meryl M., author [person]","Glen Feshie : the history and archaeology of a Highland Glen","","","","Scotland","Conon Bridge, Ross-Shire","North of Scotland Archaeological Society","2013","2nd edition","96 pages, illustrations (chiefly colour), colour maps, plans, portraits (some colour), 21 cm","941.24","YC.2014.a.5566","","English",""
"Vegetation--Effect of trampling on--Scotland--Loch Lomond and the Trossachs National Park","general term","014518208","Monograph","Language material ; Text","Volume","GBA816967","","Headley, A. D. (Alistair D.)","","person","","Scottish Natural Heritage (Agency) [organisation] ; Headley, A. D. (Alistair D.) [person]","An assessment and evaluation of herbivore impacts on alpine heaths and grasslands within the Ben More-Stob Binnein site of Special Scientific Interest","","Commissioned report","number 233 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2007","","iv, 31 pages, colour illustrations, colour maps, 30 cm","333.7416094142","YK.2008.b.6441","","English","Publisher's number: ROAME number RO6AC208"
"Views","general term","014790512","Collection","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Allom, Thomas","1804-1872","person","artist","Allom, Thomas, 1804-1872, artist [person] ; Cousen, J. (John), 1804-1880, engraver [person]","Loch Lomond from below Tarbet / (Dumbartonshire)","","","","England","","","1838-","","1 art print, steel-engraving, image 110 x 171 mm (trimmed)","","74/Tab.438.a.1","Engraving ; Illustration ; Plan or view","English",""
"Views--England--1790-1800","geographical term","003419612","Monograph","Language material ; Text","Volume","","","Smith, John","1749-1831","person","","Smith, John, 1749-1831 [person] ; Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","Twenty views of the Lake District","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire","1791-1795","","20 leaves of plates and four blank end-pages bound into a book, illustrations, 42 x 57 cm (oblong folio)","","1899.t.3","","English","The plates generally in good condition with some foxing"
"Views--England--1790-1800","geographical term","017706485","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","BELLEISLE LODGE : On the great Island in Windermere, belonging to John Christian Curwen Esq.r to whom these Twenty Views of the Lakes in ; Cumberland &c. are most humbly inscribed, by his most obedient and much obliged Humble Ser.t John Smith","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706879","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","BUTTERMERE LAKE : taken a little above the Village","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706895","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","WYBURN LAKE : at the Lower End","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706903","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","ELTER WATER : in Langdale","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706916","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LODORE WATER-FALL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706954","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","THE FERRY ON WINDERMERE LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.5 x 46.4 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706973","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, F.","","person","artist ; printmaker","Merigot, F., artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","CONISTON LAKE : and Village","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand London","1792","","1 print, etching and aquatint, platemark 32.8 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017706999","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","PATERDALE GRANGE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 33.0 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707011","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","ENTRANCE into BORRODALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R Blamire. Strand, London","1792","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707016","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","ULLS-WATER in PATERDALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; Publish'd ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.5 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707020","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","WINDERMERE LAKE : taken a little below the Ferry, on the side in Westmoreland","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R.d Blamire, April","1792","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707126","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","GRASMERE LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 33.0 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707140","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","RYDAL LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707154","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","KESWICK LAKE from CASTLE-RIGG","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707180","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","POCKLINGTONS ISLAND, KESWICK LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707206","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LOWS WATER","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.8 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707215","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","BROADWATER at the upper-end of PATERDALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707225","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","NEAR CLAPPERSGATE on the RIVER BRATHA","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Views--England--1790-1800","geographical term","017707251","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LOWER CASCADE at RYDAL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Villages--England--Dartmoor","general term","007435398","Monograph","Language material ; Text","Volume","GBA321090","9780905981079","","","","","Dartmoor National Park Authority [organisation]","Houndtor deserted medieval settlement","","","","England","Bovey Tracey","Dartmoor National Park Authority","2002","","18 pages, illustrations (some colour), maps, 21 cm","942.353","YK.2003.a.5827","","English",""
"Volunteer workers in parks--England--Lake District National Park","general term","013011585","Monograph","Language material ; Text","Volume","GBA530197","9780952666585","Richardson, Shiela","","person","","Richardson, Shiela [person]","Putting something back : a celebration of 50 years service of the Lake District voluntary wardens. 1954 - 2004","","","","England","Workington","Lake District Voluntary Wardens Service & Mill Field Publications","2004","","96 pages, illustrations, maps, portraits, 30 cm","331.76133311094278","YK.2005.b.672","","English",""
"Wainwright, Alfred","person","016246472","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB301673","9780711233805","Bradbury, Julia","","person","author","Bradbury, Julia, author [person]","Julia Bradbury's Wainwright walks. Coast to coast","Wainwright walks","","","England","London","Frances Lincoln","2013","","144 pages, illustrations (black and white and colour), black and white maps, 20 cm","796.51092","YKL.2015.a.7787","","English","Includes index ; TV tie-in"
"Wales","general term","006684274","Monograph","Language material ; Text","Sheet","GB9458720","","","","","","Raikes, R. D. [person] ; Brecon Beacons National Park Committee [organisation]","Victim of the Beacons : the story of little Tommy Jones","","","","Wales","Brecon","Brecon Beacons National Park Committee","1993","2nd edition","1 sheet, illustrations, maps, portraits, 30 x 42 cm, folded to 30 x 14 cm","942.956092","HS.74/1041 (50)","","English","Previous edition: 1972"
