"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","011686417","Monograph","Language material ; Text","Volume","","","Caravan and tent survey","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1984","","","790 ; 796 ; 910","OP-LG/1449","Tourism ; Sport & Recreation ; Sports","","English",""
"Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","012335315","Monograph","Language material ; Text","Volume","","","Functional strategies : 1987-1992","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","307.12 ; 790 ; 796 ; 910","OP-LG/4486","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Pembrokeshire National Park","","English",""
"Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","012335316","Monograph","Language material ; Text","Volume","","","Pembrokeshire Coast National Park plan : First review and policies for 1982-1987","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1985","","","307.12 ; 790 ; 796 ; 910","OP-LG/4484","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","012335318","Monograph","Language material ; Text","Volume","","","Seasonal changes in Pembrokeshire's tourism","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","790 ; 796 ; 910","OP-LG/4492","Tourism ; Sport & Recreation ; Sports","","English",""
"Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","012335319","Monograph","Language material ; Text","Volume","","","Tourism in Pembrokeshire : Background data","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","790 ; 796 ; 910","OP-LG/4491","Tourism ; Sport & Recreation ; Sports","","English",""
"Pembrokeshire Coast National Park Committee, Dyfed County Council","","organisation","","Pembrokeshire Coast National Park Committee, Dyfed County Council [organisation]","014329426","Monograph","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Plan 1977-1982 and Report of consultations","","","","","","National Park Committee","1977","","2 volumes","","f79/0921 ; f79/0922","","","English",""
"Pembrokeshire Coast National Park Information Service","","organisation","","Pembrokeshire Coast National Park Information Service [organisation] ; Pembrokeshire Coast National Park Authority [organisation]","011004263","Monograph","Language material ; Text","Volume","GB8208003","9780860750024","Official handbook of the Pembrokeshire Coast National Park Authority","","","","Wales","Newport, Dyfed","Pembrokeshire Coast National Park Authority","1981","","52 pages, illustrations (some colour), maps (some colour), 21 cm","914.296204857 ; 914.296204858","","Pembrokeshire Coast National Park (Wales)--Guide-books ; Dyfed--Preseli (District)--& South Pembrokeshire (District)--National parks--Pembrokeshire Coast National Park--Visitors' guides","","English","Includes index"
"Pembrokeshire Coast National Park","","organisation","","Snowdonia National Park [organisation] ; Pembrokeshire Coast National Park [organisation] ; Brecon Beacons National Park Authority [organisation]","013006649","Monograph","Language material ; Text","Sheet","GBA471367","","Parciau cenedlaethol Cymru : yn gwarchod ein gorffennol, presennol a'n dyfodol = The national parks of Wales : caring for our past, present and future","The national parks of Wales : caring for our past, present and future","","","Wales","Brecon","Brecon Beacons National Park","2004","","1 folded sheet, colour illustrations, map, 21 cm","","","Natural areas--Wales ; National parks and reserves--Wales","","English ; Welsh",""
"Pembrokeshire National Park Committee","","organisation","","Pembrokeshire National Park Committee [organisation]","015166501","Monograph","Language material ; Text","Volume","","","Pembrokeshire coast National park plan 1977-1982. Report of consultations","","","","United Kingdom","","Pembrokeshire National Park Committee","","","58 pages","","f79/0922","","","English",""
"Pembrokeshire National Park Committee","","organisation","","Pembrokeshire National Park Committee [organisation]","015166502","Monograph","Language material ; Text","Volume","","","Pembrokeshire coast national park plan 1977-1982","","","","United Kingdom","","Pembrokeshire National Park Committee","1977","","196 pages","","f79/0921","","","English",""
"People, Landscape & Cultural Environment Education and Research Centre","","organisation","","People, Landscape & Cultural Environment Education and Research Centre [organisation] ; Yorkshire Dales Landscape Research Trust [organisation] ; Martlew, R. D. (Roger D.) [person]","016024921","Monograph","Language material ; Text","Volume","GBB2B3280","9781906604356","Prehistory in the Yorkshire Dales : recent research and future prospects","","","","England","Kettlewell ; York","PLACE ; Yorkshire Dales Landscape Research Trust","2011","","vi, 72 pages, illustrations (some colour), maps (some colour), 30 cm","936.284","YC.2012.b.2115","Yorkshire Dales (England)--Antiquities--Congresses ; Prehistoric peoples--England--Yorkshire Dales--Congresses ; Antiquities, Prehistoric--England--Yorkshire Dales--Congresses","Congress","English","'Papers and reports from a conference held in Grassington on October 31st, 2009, organised by PLACE, Yorkshire Dales Landscape Research Trust, Yorkshire Dales National Park Authority.'"
"Perrott, David","","person","","Perrott, David [person]","014504400","Monograph","Language material ; Text","Volume","GBA810204","9781902302508","Walks around Pembrokeshire : exploring the very best of the Pembrokeshire Coast National Park","Pembrokeshire : exploring the very best of the Pembrokeshire Coast National Park","","","Wales","Machynlleth","Kittiwake","2007","","40 pages, illustrations, maps, 21 cm","","","Trails--Wales--Pembrokeshire--Guidebooks ; Pembrokeshire (Wales)--Guidebooks ; Pembrokeshire Coast National Park (Wales)--Guidebooks","Guidebook","English","Cover title"
"Perrott, David","","person","author","Perrott, David, author [person]","019553212","Monograph","Language material ; Still image ; Text","Volume","GBB9G2126","9781908748591","Walks from the : Talyllyn Railway","Talyllyn Railway","","","Wales","Glantwymyn","Kittiwake","2019","","36 pages, black and white illustrations, black and white maps, 21 cm","796.510942925","YKL.2021.a.4486","Walking--Wales--Snowdonia National Park--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks ; Talyllyn Railway","Guidebook","English",""
"Perrott, Morag","","person","","Perrott, Morag [person] ; Elliott, Geoff [person]","012949779","Monograph","Language material ; Text","Volume","GBA450114","9781902302287","Local walks around Harlech in the Snowdonia National Park","","","","Wales","Machynlleth","Kittiwake","2004","","32 pages, illustrations, maps, 21 cm","","","Walking--Wales--Harlech--Guidebooks ; Harlech (Wales)--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks ; Harlech (Wales)--Description and travel","Guidebook","English","Cover title ; Text and map on inside covers"
"Perrott, Morag","1950-","person","illustrator","Ross, Alastair, 1954-, author [person] ; Perrott, Morag, 1950-, illustrator [person]","017809284","Monograph","Language material ; Text","Volume","GBB655333","9781908748355","Short walks around the Brecon Beacons","","","","Wales","Glantwymyn","Kittiwake","2016","","40 pages, black and white illustrations, black and white maps, 21 cm","796.510942956","","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"Perrott, Morag","1950-","person","illustrator","Ross, Alastair, 1954-, author [person] ; Perrott, Morag, 1950-, illustrator [person]","017809285","Monograph","Language material ; Text","Volume","GBB655334","9781908748362","Walking in the Brecon Beacons National Park","","","","Wales","Glantwymyn","Kittiwake","2016","New edition","40 pages, black and white illustrations, black and white maps, 21 cm","796.510942956","","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"Perry, Irene G.","","person","","Exmoor Natural History Society [organisation] ; Perry, Irene G. [person]","009750360","Monograph","Language material ; Text","Volume","GBA122382","9780951289310","Bryophyte atlas of Exmoor National Park","","","","England","Minehead","Exmoor Natural History Society","2001","","xxiii, 139 pages, 4 pages of plates, illustrations (some colour), maps, 21 cm","588.20942385","CY 32","Liverworts--England--Exmoor National Park--Geographical distribution--Maps ; Mosses--England--Exmoor National Park--Geographical distribution--Maps","Map","English",""
"Peters, Iain","","person","","Lake District National Park Authority [organisation] ; Peters, Iain [person] ; Shelbourn, Colin [person]","012028797","Monograph","Language material ; Text","Volume","GBA349577","9781852843472","Rocky Rambler's wild walks","","","","England","Milnthorpe","Cicerone ; Lake District National Park Authority","2002","New edition","80 pages, colour illustrations, colour maps, 25 cm","914.2780486","YK.2003.a.14345","Lake District (England)--Guidebooks--Juvenile literature ; Walking--England--Lake District--Guidebooks--Juvenile literature","Children's literature ; Guidebook","English","Previous edition: Windermere : Lake District National Park Authority, Visitor Services, 1992"
"Peters, Iain","","person","","Peters, Iain [person] ; Shelbourn, Colin [person] ; Lake District National Park Authority, Visitor Services [organisation]","007438766","Monograph","Language material ; Text","Volume","GB9366996","9780906421260","Rocky Rambler's wild walks","","","","England","Windermere","Lake District National Park Authority, Visitor Services","1992","","80 pages, 4 folded plates","914.27804859","YK.1994.b.2939","Travel ; Cumbria (England)","","English",""
"Peters, Iain","","person","author","Lake District National Park Authority [organisation] ; Shelbourn, Colin, author [person] ; Peters, Iain, author [person]","016777659","Monograph","Language material ; Text","Online resource","GBB500405","9781849650151","Rocky Rambler's wild walks","","","","England","Milnthorpe, Cumbria","Cicerone","2011","New edition","1 online resource (80 pages), colour illustrations, colour maps","914.2780486","ELD.DS.3209","Lake District (England)--Guidebooks--Juvenile literature ; Walking--England--Lake District--Guidebooks--Juvenile literature","Children's literature ; Guidebook","English","'Produced in association with the Lake District National Park Authority.'--page 2 ; 'The first Lake District walking guide to put the children in charge.'--Cover ; Cover title ; Previous edition published: Windermere: Lake District National Park Authority, 1992"
"Peters, Simon","","person","","Peters, Simon [person]","014048239","Monograph","Language material ; Text","Volume","GBA882323","9781903797792","Ghosts and legends of the Broads","","","","England","","Lucas","2007","","137 pages, illustrations, 22 cm","133.10942617","YK.2008.a.11666","Broads, The (England)--Folklore ; Legends--England--Broads, The ; Ghosts--England--Broads, The","Folk tale or fairy tale","English","Includes index"
"Philipson, John","","person","","Philipson, John [person]","010945558","Monograph","Language material ; Text","Volume","GB7000930","9780117004849","Northumberland","","National Park guide","number 7 [National Park guide]","England","London","H.M.S.O","1969","","2, viii, 130 pages, 20 plates (1 folded), illustrations, maps (1 colour), 1 portrait, 21 cm","914.282","","Northumberland National Park (England)","","English",""
"Phillips, Derek","1966-","person","","Phillips, Derek, 1966- [person]","007699629","Monograph","Language material ; Text","Volume","GB9235058","9780951924501","Pub walks in the Brecon Beacons National Park","","","","Wales","Cardiff","Kestrel","1992","","32 pages, illustrations, maps, 21 cm","","","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Includes index ; Title from cover"
"Phillips, Derek","1966-","person","","Phillips, Derek, 1966- [person]","009475492","Monograph","Language material ; Text","Volume","GB9233422","9780951924501","Pub walks in the Brecon Beacons National Park","","","","Wales","Cardiff","Kestrel","1992","","32 pages, illustrations, maps, 21 cm","","YK.1993.a.8574","Brecon Beacons National Park (Wales)--Description and travel--Guidebooks ; Walking--Wales--Brecon Beacons","Guidebook","English","Cover title"
"Phillips, E. R.","","person","","British Geological Survey [organisation] ; Young, B. [person] ; Phillips, E. R. [person] ; Vye, C. L [person]","006606316","Monographic component part","Language material ; Text","Volume","","","The building stones of Thirlwall Castle, Northumberland National Park","","Onshore geology series - technical report","no WA/01/02 [Onshore geology series - technical report]","","","British Geological Survey","2001","","","549 ; 551 ; 552.5 ; 624.028 ; 691 ; 930.1","8714.105000","Mineralogy ; Sedimentology ; Building materials ; Geology ; Archaeology ; Construction equipment","","English",""
"Phillips, Rebecca","","person","author","Great Britain, Department of the Environment, Planning Inspectorate [organisation] ; Phillips, Rebecca, author [person]","018728533","Monograph","Cartographic image ; Language material ; Text","Volume","GBB826744","","Report on the examination into the Brecon Beacons National Park Local Development Plan 2007 - 2022","","","","Wales","Brecon","Brecon Beacons National Park","2013","","1 volume (unnumbered pages), colour maps, 30 cm","","","Brecon Beacons National Park (Wales) ; National parks and reserves--Planning","","English",""
"Pitty, Alistair F. (Alistair Frank)","","person","","Glover, R. R. [person] ; International Speleological Congress, 7th, sheffield, 1977 [meeting/conference] ; Waltham, Tony [person] ; Pitty, Alistair F. (Alistair Frank) [person]","010365280","Monograph","Language material ; Text","Volume","GB7905412","","Caves and karst of the Yorkshire Dales : guidebook for the International Congress of Speleology at Sheffield 1977","","","","England ; United Kingdom","BCRA Sales, 30 Main Road, Westonzoyland, Bridgwater, Somerset ; Bridgwater","7th I.S.C. Committee ; British Cave Research Association","1977","","37 pages, illustrations, maps, 21 cm","914.28404857","","Caves--England--Yorkshire Dales National Park--Guidebooks ; Karst--England--Yorkshire Dales National Park ; Yorkshire Dales National Park, Eng ; North Yorkshire--Dales--Limestone caves & karsts--Guidebooks","Guidebook","English","'Guidebook for the International Speleological Congress 1977' - cover"
"Plantlife Scotland","","organisation","publisher","Diack, Gwenda, author [person] ; Plantlife Scotland, publisher [organisation]","019024852","Monograph","Language material ; Still image ; Text","Card","GBB8F4266","9781910212646","Cairngorms wild plants keys : mountains : an outdoor learning resource for group leaders","Unlock the outdoors","","","Scotland","Stirling","Plantlife Scotland","2018","","15 cards, colour illustrations, 1 map (colour), 21 cm","","YKL.2019.a.8910","Mountain plants--Cairngorms National Park--Identification ; Mountain ecology--Cairngorms National Park ; Plants--Scotland--Cairngorms National Park--Identification ; Endemic plants--Cairngorms National Park--Identification","","English","Title from cover card ; Weather-proof information cards, printed on both sides and bound with a metal ring"
"Plantlife Scotland","","organisation","publisher","Diack, Gwenda, author [person] ; Plantlife Scotland, publisher [organisation]","019031182","Monograph","Language material ; Still image ; Text","Card","GBB8F8009","9781910212639","Cairngorms wild plants keys : Caledonian pinewoods : an outdoor learning resource for group leaders","Unlock the outdoors","","","Scotland","Stirling","Plantlife Scotland","2018","","15 cards, colour illustrations, 1 map (colour), 21 cm","","YKL.2019.a.6235","Pine--Scotland--Cairngorms National Park ; Plants--Scotland--Cairngorms National Park--Identification ; Forest ecology--Scotland--Cairngorms National Park ; Forests and forestry--Scotland--Cairngorms National Park","","English","Title from cover card ; Weather-proof information cards, printed on both sides and bound with a metal ring"
"Plantlife","","organisation","publisher","Plantlife, publisher [organisation] ; Make the Small Things Count (Project) [organisation] ; Boswell, Graham, author [person] ; British Lichen Society [organisation]","017837476","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet","GBB7D2172","9781910212295","Explore Exmoor's natural heritage : a 3-mile walk exploring an ancient coastal landscape rich in lichens","","Wild plant walks","","England","Salisbury, Wiltshire","Plantlife","2016","","1 folded sheet (12 unnumbered pages), colour illustrations, 1 map (colour), 22 cm","577.510942385","YKL.2017.a.10831","Lichens--England--Exmoor National Park--Guidebooks ; Walking--England--Exmoor National Park--Guidebooks ; Coastal plants--England--Exmoor National Park--Identification ; Coastal plants--England--Exmoor National Park--Guidebooks ; Exmoor National Park (England)--Guidebooks ; Lichens--England--Exmoor National Park--Identification","Guidebook","English","'Produced by Plantlife's 'Make the Small Things Count' project, with support from the British Lichen Society'--Back cover"
"Plantlife","","organisation","publisher","Plantlife, publisher [organisation]","016593379","Monograph","Language material ; Still image ; Text","Volume","GBB401088","9781907141713","The wildflowers of Deep Dale : a circular 4 mile walk in the Peak District National Park","","Plantlife wildflower walks","","England","Salisbury, Wiltshire","Plantlife","2012","","1 folded sheet (unnumbered pages), colour illustrations, 1 map (colour), 30 x 42 cm folded to 21 x 10 cm","581.942513","YK.2014.a.340","Walking--England--Deep Dale Nature Reserve ; Wild flowers--England--Deep Dale Nature Reserve--Identification","","English",""
"Plastow, Sally","","person","","Council for the Protection of Rural England [organisation] ; Friends of the Lake District [organisation] ; Leslie David [person] ; Hilley, Angela [person] ; Plastow, Sally [person]","013700713","Monograph","Language material ; Text","Volume","","","An environmental audit of the tourism industry in the Lake District National Park : final report","","","","England ; Scotland","Glasgow","Glasgow Caledonia University","2001","","xxxvi, 417 pages, 30 cm","338.4791094278","m07/.24973","Lake District National Park (England) ; Tourism--Environmental aspects--England--Lake District National Park","","English",""
"Pogue, Sarah","","person","author","University of Southampton [organisation] ; Pogue, Sarah, author [person]","017791598","Monograph","Language material ; Text","Online resource","","","Resilience management in social-ecological systems : developing a new evolutionary approach : a case study - the New Forest National Park","","","","United Kingdom","","University of Southampton","2015","","1 online resource","550","680758","","","English",""
"Poole, David","1936-","person","","Poole, David, 1936- [person]","008815428","Monograph","Language material ; Text","Volume","GB8315406","9780950659206","Broadland sketches","","","","England","Norwich","Wilson-Poole","1980","","80 pages, illustrations, portraits, 30 cm","942.61708580222","X.425/3734","Broads, The (England)--Description and travel--Views ; Norfolk Broads","","English",""
"Pope, Barry","","person","","Pope, Barry [person] ; Taylor, Norman, 1947- [person]","015398107","Monograph","Language material ; Text","Volume","GBA9A2780","9781906148164","Day walks in the Peak District : 20 new circular routes","","","","England","Sheffield","Vertebrate","2009","New edition","1 volume, colour illustrations, colour maps, colour portraits, 18 cm","914.25110486","","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","Previous edition: 2005"
"Pope, Barry","","person","","Pope, Barry [person] ; Taylor, Norman, 1947- [person]","016099691","Monograph","Language material ; Text","Volume","GBB255573","9781906148492","Day walks in the Peak District : 20 classic circular routes","","","","England","Sheffield","Vertebrate","2012","2nd edition","1 volume, colour illustrations, colour maps, colour portraits, 18 cm","796.5220942511","","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English",""
"Pope, Barry","","person","author","Pope, Barry, author [person] ; Taylor, Norman, 1947-, author [person]","019805789","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBC064590","9781839810237","Day walks in the Peak District : 20 new circular routes","","","","England","Sheffield","Vertebrate Publishing","2020","Second edition","1 volume, colour illustrations, colour maps, 18 cm","796.510942511","","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English",""
"Porchester, Henry George Reginald Molyneux Herbert, Baron","","person","","Great Britain, Ministry of Agriculture, Fisheries and Food [organisation] ; Great Britain, Department of the Environment [organisation] ; Porchester, Henry George Reginald Molyneux Herbert, Baron [person]","010672162","Monograph","Language material ; Text","Volume","GB7806224","9780117512559","A study of Exmoor : report","","","","England","London","H.M.S.O","1977","","3, 93 pages, 30 cm","719.320942385","BS.414/1763","Exmoor National Park (England) ; Land use, Rural--England--Exmoor National Park ; England--Exmoor--National parks--Exmoor National Park--Landscape--Effects of improvement of heathland used as agricultural land ; Reclamation of land--England--Exmoor National Park","","English","Maps (4 folded sheets ([4] p.)) in pocket"
"Povall, Richard","","person","","Povall, Richard [person] ; Aune Head Arts (Organization) [organisation]","015717422","Monograph","Language material ; Text","Volume","GBB1B7137","9780956611406","Triparks : six artists in three national parks","","","","England","Yelverton","Aune Head Arts","2010","","37 pages, colour illustrations, maps, 18 cm","759.2","YK.2011.a.29398","Landscape painting, English--21st century ; Northumberland National Park (England)--In art ; Dartmoor National Park (England)--In art ; Exmoor National Park (England)--In art","","English",""
"Powls, John","","person","","Powls, John [person]","009488614","Monograph","Language material ; Text","Volume","GBA250572","9780953478514","A book always open_","","","","England","Reading","Poetry@MMD","2002","","34 pages, 21 cm, paperback","821.914","YK.2002.a.15160","Dartmoor National Park (England)--Poetry","Poetry or verse","English","'A narrative poem for Dartmoor National Park's 50th anniversary, 1951-2001'_Cover"
"Powys (Wales), County Council","","organisation","","Powys (Wales), County Council [organisation]","007706353","Monograph","Language material ; Text","Volume","GB9473082","","Draft minerals local plan (excluding the Brecon Beacons National Park)","","","","Wales","Llandrindod Wells","Powys County Council","1993","","24 pages, 14 leaves, illustrations, maps, 30 cm","","","Mineral industries--Wales--Powys ; Quarries and quarrying--Wales--Powys ; Landscape protection--Wales--Powys","","English","Cover title"
"Powys (Wales), County Council","","organisation","","Powys (Wales), County Council [organisation]","008365350","Monograph","Language material ; Text","Volume","GB9617507","","Minerals local plan for Powys : excluding the Brecon Beacons National Park","","","","Wales","Llandrindod Wells","Powys County Council","1995","","35, 16 pages, 1 folding leaf, illustrations, maps, 30 cm","","","Mineral industries--Wales--Powys","","English","Map inside back cover"
"Pratt, Geoff","","person","","Pratt, Geoff [person]","012031363","Monograph","Language material ; Text","Volume","GBA041910","9781853066214","Waterside walks in Norfolk","","Waterside walks","","England","Newbury","Countryside","2000","","96 pages, illustrations, maps, 21 cm","914.261","YK.2001.a.9287","Walking--England--Norfolk--Guidebooks ; Rivers--England--Norfolk--Guidebooks ; Broads, The (England)--Guidebooks ; Coasts--England--Norfolk--Guidebooks ; Salt marshes--England--Norfolk--Guidebooks ; Norfolk (England)--Guidebooks","Guidebook","English",""
"Prentice, Tom","","person","","Prentice, Tom [person]","015182094","Monograph","Language material ; Text","Volume","GBA948320","9780956036704","Loch Lomond and the Trossachs National Park. Vol. 1. West : 60 walks","","Mica walkers' guides","","Scotland","Glasgow","Mica","2009","","158 pages, colour illustrations, colour maps, 18 cm","914.142","YK.2010.a.26638","Hiking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks ; Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks","Guidebook","English",""
"Prentice, Tom","","person","","Prentice, Tom [person]","015182095","Monograph","Language material ; Text","Volume","GBA948321","9780956036711","Loch Lomond and the Trossachs National Park. Vol. 2. East : 60 walks","","Mica walkers' guides","","Scotland","Glasgow","Mica","2009","","158 pages, colour illustrations, colour maps, 18 cm","914.142","YK.2010.a.26639","Hiking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks ; Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks","Guidebook","English","Includes index"
"Prentice, Tom","","person","author","Prentice, Tom, author [person]","017710106","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB609778","9780956036780","Loch Lomond and the Trossachs National Park. Vol 2. East : 60 walks","","Mica walkers' guide","","Scotland","Glasgow","Mica Publishing","2016","2nd edition","158 pages, colour illustrations, colour maps, 18 cm","914.142","YK.2018.a.2589","Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks ; Walking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks","Guidebook","English",""
"Price, John","","person","author","Dyu, Lily, author [person] ; Price, John, author [person]","019010105","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB8E8062","9781911342274","Brecon Beacons trail running : 20 off-road routes for trail & fell runners","","","","England","Sheffield","Vertebrate Graphics","2018","","1 volume, colour illustrations, colour maps, 18 cm","796.4280942956","","Brecon Beacons National Park (Wales)--Guidebooks ; Cross-country running--Wales--Brecon Beacons National Park--Guidebooks ; Mountain running--Wales--Brecon Beacons National Park--Guidebooks","Guidebook","English",""
"Price, Norman","1936-","person","","Price, Norman, 1936- [person] ; Pembrokeshire Coast National Park Authority [organisation]","007236336","Monograph","Language material ; Text","Volume","GB9473338","","Four circular walks around the Daugleddau Estuary","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","20 pages, illustrations, maps, 21 cm","914.2963","YK.1995.a.4200","Dyfed (Wales) ; Walking--Daugleddau River Estuary--Guidebooks ; Travel ; Daugleddau River Estuary (Wales)--Guidebooks","","English",""
"Prince, D. R","","person","","Prince, D. R [person]","008471685","Monograph","Language material ; Text","Online resource","","","Countryside interpretation in the North York Moors National Park : a soci-psychological study","","","","","","University of Hull","1980","","","150 ; 790 ; 796 ; 910","280210","Sport & Recreation ; Sports ; Tourism ; Psychology","","English",""
"Prince, Elizabeth","","person","","Head, John, 1934 May 23- [person] ; Prince, Elizabeth [person]","010116569","Monograph","Language material ; Text","Volume","GB8713222","9780861147939","Dartmoor seasons","","","","England","Exeter","Devon","1987","","160 pages, illustrations, 25 cm","719.320942353","YV.1987.b.1803","Dartmoor National Park (England) ; Devon--Dartmoor--National parks--Dartmoor National Park","","English",""
"Prince, Elizabeth","","person","","Prince, Elizabeth [person] ; Devon (England), Dartmoor National Park Department [organisation]","006742407","Monograph","Language material ; Text","Volume","GB7817115","9780905981017 ; 9780905981024","Walks in the Dartmoor National Park","","","","England","County Hall, Exeter ; Devon ; Exeter","Department","1977","","44 pages, illustrations (some colour), colour maps, 21 cm","914.235304857","BS.116/119","Devon--Dartmoor--1970-1979--Walkers' guides ; Dartmoor (England)--Description and travel--Guide-books","","English","Text on inside back cover"
"Procter, Guy","","person","editor","Procter, Guy, editor [person] ; Hallissey, Nick, author ; editor [person] ; Walters, Jenny, author ; journalist [person] ; Manning, Jonathan, 1969-, author [person] ; Great Britain, Ordnance Survey [organisation]","017702204","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB770971","","The complete guide to the Peak District","Complete guide to the Peak District : from gentle valleys to thrilling ridges : discover the greatest walks in Britain's favourite national park ; Country walking","","","England","Peterborough","Bauer Consumer Media","2015","New 2016 walking guide","97 pages, chiefly colour illustrations, colour maps, 30 cm","796.510942511","YK.2017.b.315","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","'ISSN 2057-7524.' ; 'In association with Ordnance Survey'--Cover ; 'Includes 40 step-by-step walks with OS maps'--Cover ; 'Published by Country walking.'"
"Purdy, Elizabeth","","person","","Purdy, Elizabeth [person] ; Francis Frith Collection [organisation]","007461493","Monograph","Language material ; Text","Volume","GBA2Y3001","9781845890735 ; 9781859374863","Francis Frith's Norfolk Broads","Norfolk Broads","Photographic memories","","England","Salisbury","Frith","2002","","119 pages, chiefly illustrations, map, portraits, 26 cm","942.617","YK.2002.a.15500","Francis Frith Collection ; Broads, The (England)--History--20th century--Pictorial works","Pictorial work","English","Cover title: Norfolk Broads ; Includes index"
"Quaternary Research Association (Great Britain)","","organisation","","Carr, Simon J. [person] ; Quaternary Research Association (Great Britain) [organisation]","014606390","Monograph","Language material ; Text","Volume","GBA865491","9780907780724","The quaternary of the Brecon Beacons : field guide","","Field guide","","England","London","Quaternary Research Association","2007","","xi, 277 pages, illustrations, maps, 21 cm","551.790942956","551.7909427","Geology, Stratigraphic--Quaternary ; Geology--Wales--Brecon Beacons National Park","","English","'Produced to accompany the QRA Annual Field Meeting based at the Castle of Brecon Hotel, Brecon, 22-26th April 2007'--T.p. verso"
"Quaternary Research Association (Great Britain)","","organisation","","Howard, Andrew J. [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation] ; Quaternary Research Association (Great Britain) [organisation] ; Macklin, M. G. [person]","009750000","Monograph","Language material ; Text","Volume","GB9908341","9780907780434","The Quaternary of the Eastern Yorkshire Dales : field guide : the holocene alluvial record","","","","England","London","Quaternary Research Association","1998","","volumes, 106 pages, illustrations, maps, 21 cm","549 ; 551 ; 551.79094284 ; 552.5 ; 930.1","99/14798 ; NX 025","Mineralogy ; Geology, Stratigraphic--Quaternary ; Sedimentology ; Geology--England--Yorkshire Dales ; Archaeology","","English","Published with the support of Yorkshire Dales National Park Authority"
"Quayle, Brendan","","person","","Bellamy, David, 1933-2019 [person] ; Quayle, Brendan [person]","008736647","Monograph","Language material ; Text","Volume","GBA307751","9780283999833","Wetland : an exploration of the lost wilderness of East Anglia","","","","England","London","Sidgwick & Jackson","1990","","160 pages, illustrations (some colour), map, 19 x 26 cm","914.26","LB.31.a.10575","Broads, The (England)--Guidebooks ; Fens, The (England)--Guidebooks","Guidebook","English","Includes index"
