"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"914.2840486","009073081","Monograph","Language material ; Text","Volume","GBA241640","9781898630173","Speakman, Colin","","person","","Speakman, Colin [person] ; Morrison, John, 1951- [person]","Yorkshire Dales : the official National Park guide","","Pevensey guides","","England","Newton Abbot","Pevensey","2001","","112 pages, colour illustrations, map, portraits, 25 cm","","Yorkshire Dales National Park (England)--Guidebooks","Guidebook","English","bibliography: p. 110. - Includes index"
"914.2840486","009073088","Monograph","Language material ; Text","Volume","GBA0V2464","9781898630173 ; 9781898630395","Speakman, Colin","1941-","person","","Morrison, John, 1951- [person] ; Speakman, Colin, 1941- [person]","Yorkshire dales : the official National Park guide","","","","England","Newton Abbot","Pevensey","2001","","110 pages, colour illustrations, colour map, 25 cm","","Yorkshire Dales National Park (England)--Guidebooks","","English","Includes index"
"914.2840486","012874051","Monograph","Language material ; Text","Volume","GBA4X7033","9781841143613","Rawson, Jerry","","person","","Rawson, Jerry [person]","Discover the Yorkshire Dales : walks from the Howgills to Nidderdale","","Halsgrove discover series","","England","Tiverton, Devon","Halsgrove","2004","","144 pages, illustrations (some colour), maps, 23 cm","LC.31.a.4854","Walking--England--Yorkshire Dales National Park--Guidebooks ; Yorkshire Dales National Park (England)--Guidebooks ; Yorkshire Dales National Park (England)--Pictorial works","Guidebook ; Pictorial work","English",""
"914.2841","015745455","Serial","Language material ; Text","Volume","GBB116696","","","","","","Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","The visitor : your official guide to the Yorkshire Dales National Park","Visitor (Yorkshire Dales National Park Authority (North Yorkshire, England))","","","England","Bainbridge","Yorkshire Dales National Park Authority","","","volumes, illustrations (chiefly colour), maps (some colour), portraits (some colour), 37 cm","ZK.9.d.4035","Yorkshire Dales (England)--Description and travel--Periodicals ; Yorkshire Dales National Park Authority (North Yorkshire, England)--Periodicals ; Yorkshire Dales (England)--Guidebooks","Guidebook ; Periodical","English",""
"914.2841","019709244","Monograph","Language material ; Still image ; Text","Volume","GBC124921","9781527246553","Kinder, Kathleen","1932-","person","author","Kinder, Kathleen, 1932-, author [person]","St Alkelda's Way : a pilgrimage walk through the Yorkshire Dales National Park","Guide book : St Alkelda's Way","","","England","Giggleswick","Alkelda Press","2019","","52 pages, illustrations (black and white and colour), maps, 21 cm","","Yorkshire Dales National Park--Guidebooks ; Walking--England--Yorkshire Dales National Park--Guidebooks ; Giggleswick (England)--Guidebooks","Guidebook","English",""
"914.2846","006684601","Monograph","Language material ; Text","Sheet","GB9662715","","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors National Park student factfile","","","","England","Danby","Park","1991","","1 portfolio, illustrations (some colour), 31 cm","YK.1996.b.12502","North York Moors National Park (England)--Geography ; North Yorkshire (England)","","English",""
"914.2846","008145999","Monograph","Language material ; Text","Volume","GB9587561","9781870141307","Hannon, Paul","1957-","person","","Hannon, Paul, 1957- [person]","North York moors - southern","","Hillside guides. Walking country","","England","Keighley","Hillside","1995","2nd edition","96 pages, illustrations, maps, 18 cm","YK.1995.a.8317","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Travel ; North Yorkshire (England)","Guidebook","English","Includes index"
"914.2846","009015620","Monograph","Language material ; Text","Volume","GB6607427","","North York Moors National Park Planning Committee","","organisation","","North York Moors National Park Planning Committee [organisation]","North York Moors","","National Park guides","numbers 4 [National Park guides]","United Kingdom","","H.M.S.O","1966","","113 pages, 22 cm","","","","English",""
"914.2846","010295002","Monograph","Language material ; Text","Volume","GB5807323","","Brown, Alfred John","","person","","Brown, Alfred John [person]","The North York Moors National Park : guide book","","","","United Kingdom","","Home Publishing","1958","","117 pages, illustrations, 19 cm","","","","English",""
"914.2846","016213226","Monograph","Language material ; Text","Volume","GBB2C6879","9781904622277","","","","","North York Moors National Park Authority [organisation]","Walks around Sutton Bank","Sutton Bank","","","England","Helmsley","North York Moors National Park Authority","2012","","24 pages, illustrations (chiefly colour), colour maps, 21 cm","YK.2013.a.20953","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park","Guidebook","English","Cover title ; Originally published: 1999"
"914.284604857","008089511","Monograph","Language material ; Text","Volume","GB7833400","9780715376997","Mead, Harry","","person","","Mead, Harry [person]","Inside the North York Moors","","","","England","Newton Abbot","David & Charles","1978","","230 pages, illustrations, 1 map, 23 cm","X.809/43972","North York Moors National Park (England) ; North Yorkshire--North York Moors--Description & travel","","English","Includes index"
"914.284604857","008791366","Monograph","Language material ; Text","Volume","GB7628619","9780852063392","Boyes, Malcolm","","person","","Boyes, Malcolm [person] ; Gower, Edward [person] ; Wright, Alec [person]","Exploring the North York Moors","","A Dalesman mini-book","","England","Clapham, N Yorkshire","Dalesman","1976","","64 pages, illustrations, maps, 39 cm","X.0708/257 (42)","North York Moors National Park (England)--Guidebooks ; North Yorkshire--North York Moors--1970-1979","Guidebook","English",""
"914.284604858","010749082","Monograph","Language material ; Text","Volume","GB8700312","9780863501401","Carstairs, Ian","1948-","person","","Carstairs, Ian, 1948- [person]","The North York Moors National Park","","Official guide / Countryside Commission","","England","Exeter","Webb & Bower","1987","","128 pages, colour illustrations, colour maps, 21 cm","YC.1987.a.10643","North Yorkshire--North York Moors--National parks--North York Moors National Park ; North York Moors National Park (England)--Guidebooks ; National parks and reserves--England--Guide-books","Guidebook","English","bibliography: p125. _ Includes index"
"914.284604858","012628824","Monograph","Language material ; Text","Volume","GB8807483","9780706366310","Boyes, Malcolm","","person","","Chester, Hazel [person] ; Boyes, Malcolm [person]","North York Moors","","Great walks","","England","London","Ward Lock","1988","","176 pages, colour illustrations, maps, 26 cm","YC.1989.b.1080","North York Moors National Park (England)--Guidebooks ; Hiking--England--North York Moors National Park--Guidebooks ; North Yorkshire--North York Moors--Walkers' guides","Guidebook","English","Includes index"
"914.284604858","012637869","Monograph","Language material ; Text","Volume","GB8510795","9780709022763","Rhea, Nicholas","1936-2017","person","","Rhea, Nicholas, 1936-2017 [person]","Portrait of the North York Moors","","","","England","London","Hale","1985","","207 pages, 24 pages of plates, illustrations, 1 map, 23 cm","X.809/64388","North York Moors National Park (England) ; North Riding of Yorkshire (England)--Description and travel ; North York Moors (England)--Description and travel ; North Yorkshire--North York Moors--Description & travel","","English","bibliography: p192-194. _ Includes index"
"914.284604858","012671154","Monograph","Language material ; Text","Volume","GB8849711","9780902363878","Collins, Martin","1941-","person","","Collins, Martin, 1941- [person]","North York Moors : walks in the National Park","","","","England","Milnthorpe, Cumbria","Cicerone","1987","","238 pages, illustrations, maps, 18 cm","YC.1988.a.9431","North Yorkshire--North York Moors--National parks--North York Moors National Park ; North York Moors National Park (England)--Guidebooks","Guidebook","English",""
"914.284604859","007445846","Monograph","Language material ; Text","Volume","GB9449237","9780907480310","","","","","North York Moors National Park [organisation]","Sutton Bank trail : through a woodland nature reserve","","","","England","Helmsley","North York Moors National Park","1993","","18 pages","YK.1994.a.14642","North Yorkshire (England) ; Travel","","English",""
"914.284604859","007445851","Monograph","Language material ; Text","Volume","GB9508616","9780907480396","","","","","North York Moors National Park [organisation]","Esk Valley walk","","","","England","Helmsley","North York Moors National Park Authority","1992","","32 pages","YK.1995.a.5565","Esk River Valley (England)--Guidebooks ; North Yorkshire (England) ; Travel ; North York Moors National Park--Guidebooks ; Trails--England--Esk River Valley--Guidebooks","","English",""
"914.284604859","007445852","Monograph","Language material ; Text","Volume","GB9365059","9780907480457","","","","","North York Moors National Park [organisation]","May Beck Trail : by farm, moor and forest","","","","England","Helmsley","North York Moors National Park","1993","","16 pages, illustrations, 21 cm","YK.1995.a.794","May Beck Trail (England)--Guidebooks ; North Yorkshire (England) ; Trails--England--North Yorkshire ; Travel","","English","Title from cover"
"914.284604859","007445853","Monograph","Language material ; Text","Volume","GB9450340","9780907480464","Staniforth, Alan","","person","","Staniforth, Alan [person] ; North York Moors National Park [organisation]","Family walks around Sutton Bank","","","","England","Helmsley","North York Moors National Park","1993","Revised edition","32 pages","YK.1994.a.15461","North Yorkshire (England) ; Travel","","English",""
"914.284604859","007445855","Monograph","Language material ; Text","Volume","GB9602222","9780907480488","","","","","North York Moors National Park [organisation]","Walks from the Moors Centre","","","","England","Helmsley","North York Moors National Park","1995","","23 pages, illustrations, maps, 1 plan, portraits, 21 cm","YK.1996.a.529","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Travel ; North Yorkshire (England)","Guidebook","English",""
"914.284604859","012989060","Monograph","Language material ; Text","Volume","GBA471127","9780907480525","","","","","North York Moors National Park Authority [organisation]","Newtondale horse trail","","","","England","York","North Moors National Park Authority","1995","","32 pages, colour illustrations, colour maps, 18 cm","YK.2004.a.10635","Trail riding--England--North York Moors National Park ; North York Moors National Park (England)--Description and travel","","English","Cover title"
"914.28460486","009073087","Monograph","Language material ; Text","Volume","GBA0V2465","9781898630166 ; 9781898630388","Sampson, Ian","","person","","Sampson, Ian [person] ; Carstairs, Ian, 1948- [person]","North York moors : the official National Park Guide","","","","England","Newton Abbot","Pevensey","2001","","112 pages, colour illustrations, colour map, 25 cm","","North York Moors National Park (England)--Guidebooks","Guidebook","English","Includes index"
"914.28460486","013014508","Monograph","Language material ; Text","Computer disc","GBA477771","9780954819606","Titchmarsh, David","","person","","Titchmarsh, David [person]","North York Moor tour","","","","England","Thirsk","Dave Titchmarsh","2004","Version, 1.1","1 CD, colour, 4 3/4 in","EC.2004.x.354","North York Moors National Park (England)--Pictorial works ; North York Moors (England)--Pictorial works","Pictorial work","English","System requirements: IBM compatible PC; Windows 98 or later ; Title from title screen"
"914.28460486","013806459","Monograph","Language material ; Text","Volume","GBA760701","9781904622130","Osborne, Roger","1954-","person","","North York Moors National Park Authority [organisation] ; Osborne, Roger, 1954- [person]","Discover the North York Moors : the official guide to the North York Moors National Park","","","","England","York","North York Moors National Park Authority","2007","","63 pages, illustrations (some colour), maps, 25 cm","YK.2008.a.18228","North York Moors National Park (England)--Guidebooks","Guidebook","English",""
"914.28460486","015179585","Monograph","Language material ; Text","Volume","GBA946522","9781904622239","","","","","North York Moors National Park Authority [organisation]","Levisham & Horcum : a guide for adventurers","Levisham and Horcum : a guide for adventurers","","","England","Helmsley","North York Moors National Park Authority","2009","","33 pages, illustrations, maps, 21 cm","YK.2010.a.14043","North York Moors National Park (England) ; North York Moors National Park (England)--Guidebooks ; Levisham (England)--Guidebooks","Guidebook","English","Title from cover"
"914.28460486","019097818","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB936198","9781904622345","","","","","North York Moors National Park Authority, publisher [organisation]","The rail trail : a walk from Goathland to Grosmont : North York Moors National Park","","","","England","Helmsley, York","North York Moors National Park Authority","2018","Revised edition","24 unnumbered pages, illustrations (black and white and colour), maps, 21 cm","YKL.2019.a.10040","Walks--England--North York Moors National Park ; North York Moors National Park (England)--Guidebooks","Guidebook","English","Previous edition: 1992"
"914.284704859","007445859","Monograph","Language material ; Text","Volume","GB9629485","9780907480594","","","","","North York Moors National Park [organisation]","Sandsend trail : on the North Yorkshire and Cleveland Heritage Coast","","","","England","Helmsley","North York Moors National Park","1996","","16 pages, illustrations (some colour), 21 cm","YK.1996.a.16616","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Travel ; North Yorkshire (England)","Guidebook","English","Cover title"
"914.284704859","007445861","Monograph","Language material ; Text","Volume","GB9737397","9780907480648","","","","","North York Moors National Park [organisation]","Walks around Goathland","","","","England","Helmsley","North York Moors National Park","1997","","23 pages, illustrations, maps, 21 cm","YK.1997.a.6028","Trails--England--Goathland--Guidebooks ; Walking--England--Goathland--Guidebooks ; Goathland (England)--Guidebooks","","English",""
"914.284704859","007445865","Monograph","Language material ; Text","Volume","GB9907454","9780907480709","","","","","North York Moors National Park [organisation]","Walks around Rosedale Abbey","","","","England","Helmsley","North York Moors National Park","1998","","23 pages, illustrations (some colour), maps, 21 cm","YK.2000.a.4185","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Walking--England--Rosedale Region--Guidebooks ; Rosedale Region (England)--Guidebooks","Guidebook","English","Cover title"
"914.284704859","009080081","Monograph","Language material ; Text","Volume","GB9458552","9780907480471","","","","","North York Moors National Park [organisation]","Walks around Robin Hood's Bay","","","","England","Helmsley","North York Moors National Park","1994","","23 pages","","North Yorkshire (England) ; Travel","","English",""
"914.288","007399908","Monograph","Language material ; Text","Volume","GB8738809","9780711702660","Bleay, Janet","","person","","Bleay, Janet [person]","Northumberland National Park","","","","England","Norwich","Jarrold Colour","1986","","32 pages, illustrations (some colour), 1 map, 25 cm","YK.1987.b.4292","Northumberland--National parks--Northumberland National Park ; Northumberland National Park (England)--Guidebooks","Guidebook","English","Cover title ; illustrations and text on inside covers"
"914.288","008090493","Monograph","Language material ; Text","Volume","GB8911174","9780715390429","Wright, Geoffrey N. (Geoffrey Norman)","1925-","person","","Wright, Geoffrey N. (Geoffrey Norman), 1925- [person]","The Northumbrian uplands","","David and Charles Britain","","England","Newton Abbot","David & Charles","1989","","200 pages, illustrations (some colour), maps, 24 cm","YC.1989.b.3815","Northumberland--National parks--Northumberland National Park ; Northumberland National Park (England)--Guidebooks","Guidebook","English","bibliography: p195-196. _ Includes index and index"
"914.288","009674903","Monograph","Language material ; Text","Volume","GB6716643","","Northumberland (England), County Council","","organisation","","Northumberland (England), County Council [organisation]","Northumberland National Park : handbook and register of accommodation","","","","United Kingdom","","Hill ; Northumberland County Council","1967","Reprinted sic, that is new edition","56 pages, illustrations, 22 cm","","","","English","Previous edition (B59-11191) by Northumberland County. National Park Planning Committee, 1959"
"914.288","010289034","Monograph","Language material ; Text","Volume","GB5717914","","Northumberland (England), National Park Planning Committee","","organisation","","Northumberland (England), National Park Planning Committee [organisation]","Northumberland National Park : report of preliminary survey","","","","United Kingdom","","County Council","1957","","28 pages, 34 cm","","","","English",""
"914.288","010926844","Monograph","Language material ; Text","Volume","GB5911191","","Northumberland (England), National Park Planning Committee","","organisation","","Northumberland (England), National Park Planning Committee [organisation]","Northumberland National Park handbook","","","","United Kingdom","","Newcastle-upon-Tyne County Council","1959","","47 pages, illustrations, 22 cm","","","","English",""
"914.288","013615475","Monograph","Language material ; Text","Volume","GBA6A3235","9780863090578","Grant, Pamela","1941-","person","","Parker, Malcolm [person] ; Grant, Pamela, 1941- [person]","The discovery guide to the Hadrian's Wall and the Northumberland National Park","","Discovery guides best of Britain discovery series","","England","Middleton-in-Teesdale","Discovery Guides","1989","","96 pages, colour illustrations, colour maps, 24 cm","YD.2006.a.9978","Walls, Roman--England--Northumberland ; Hadrian's Wall (England)--Guidebooks ; Northumberland National Park (England)--Guidebooks","Guidebook","English","Includes index to advertisers ; Title from cover"
"914.28804858","007447474","Monograph","Language material ; Text","Volume","GB8303785","9780907632009","Williams, Joan","","person","","Dale, Eric [person] ; Northumberland (England), National Park and Countryside Department [organisation] ; Williams, Joan [person] ; Melvin, Karen [person]","Walks : in the Cheviot Hills : a guide to fourteen walks of between two-and-a-half and seven miles in length in and around the Northumberland National Park","","","","England","Hexham","Northumberland County Council National Park & Countryside Department","1981","","55 pages, illustrations (some colour), maps (some colour), 22 cm","BS.116/177 ; X.809/67113","England--Cheviot Hills--Walkers' guides ; Cheviot Hills (England and Scotland)--Description and travel--Guide-books","","English",""
"914.28804858","010744349","Monograph","Language material ; Text","Volume","GB9122142","9780863090806","Hillery, Caroline","","person","","Hillery, Caroline [person]","Northumberland National Park : England's border country : where to stay, what to do, where to go","","Best of Britain discovery series / Discovery Guides","","England","Middleton-in-Teesdale","Discovery Guides","1990","","96 pages, colour illustrations, maps, 24 cm","YK.1992.b.7712","Northumberland (England) ; National parks and reserves--England--Northumberland ; Northumberland National Park (England)--Guidebooks","Guidebook","English","Cover title"
"914.28804858","010749074","Monograph","Language material ; Text","Volume","GB8700160","9780863501326","Hopkin, Tony","","person","","Hopkin, Tony [person]","Northumberland National Park","","Official guide / Countryside Commission","","England","Exeter","Webb & Bower","1987","","128 pages, illustrations (some colour), 1 colour map, 21 cm","BS.116/208","Northumberland (England)--Guidebooks ; National parks and reserves--England--Guide-books","Guidebook","English","bibliography: p125. _ Includes index"
"914.28804859","007447483","Monograph","Language material ; Text","Volume","GB9731794","9780907632313","Charlton, D. B.","","person","","Northumberland (England), National Park Division [organisation] ; Charlton, D. B. [person]","Walks in High Hills country","","","","England","Hexham","Northumberland County Council, National Park Division","1995","","95 pages, illustrations (some colour), colour maps, plans, 21 cm","YK.1997.a.2792","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks ; Northumberland National Park (England)--Guidebooks","","English",""
"914.2880486","007447486","Monograph","Language material ; Text","Volume","GBA377469","9780907632399","","","","","Northumberland National Park Authority [organisation]","A beautiful highland place : an introduction to the wild and beautiful landscape of the College Valley with four hillfort heritage trails","","","","England","Hexham","Northumberland National Park Authority","2002","","28 pages, illustrations (some colour), maps, 1 portrait, 21 cm","YK.2003.a.23790","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks","Guidebook","English","Cover title"
"914.2880486","009073082","Monograph","Language material ; Text","Volume","GBA2Z7917","9781898630180","Hopkins, Tony","1949-","person","","Hopkins, Tony, 1949- [person]","Northumberland : the official Natonal Park guide","","","","England","Newton Abbot","David & Charles","2002","","112 pages, colour illustrations, colour map, 25 cm","","Northumberland National Park (England)--Guidebooks","Guidebook","English",""
"914.288048612","015710479","Monograph","Language material ; Text","Volume","GBB0E5327","9780857100344","Toole, Anthony","","person","","Toole, Anthony [person]","The Northumberland National Park","","10 leisure walks of discovery ; A boot up","","England","Wellington","Pixz","2011","","64 pages, colour illustrations, colour maps, 12 x 16 cm","YK.2012.a.140","Walking--England--Northumberland National Park--Guidebooks ; Northumberland National Park (England)--Description and travel ; Northumberland National Park (England)--Guidebooks","Guidebook","English",""
"914.288104858","007447476","Monograph","Language material ; Text","Volume","GB8336499","9780907632023","Bleay, Janet","","person","","Northumberland (England), National Park and Countryside Department [organisation] ; Bleay, Janet [person]","Walks in the Hadrians Wall area : a guide to thirteen walks of between three and five miles in length in and around the Northumberland National Park","","","","England","Hexham","Northumberland County Council, National Park & Countryside Department","1982","","84 pages, illustrations (some colour), maps (some colour), 22 cm","X.809/55996","Northumberland--Tynedale (District)--Ancient Roman fortifications--Hadrian's Wall--Walkers' guides ; Tynedale (Northumberland)--Description and travel--Guide-books ; Hadrian's Wall (England)--Guide-books","","English",""
"914.288104859","007447482","Monograph","Language material ; Text","Volume","GB9731806","9780907632276","Charlton, D. B.","","person","","Northumberland (England), National Park Division [organisation] ; Charlton, D. B. [person]","Walks in Reiver country","","","","England","Hexham","Northumberland County Council, National Park Division","1994","","83 pages, illustrations (some colour), colour maps, 21 cm","YK.1997.a.2873","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks ; Northumberland National Park (England)--Guidebooks","","English",""
"914.29","007400137","Monograph","Language material ; Text","Volume","GBA023377","9780711706712","Conduit, Brian","","person","","Conduit, Brian [person] ; Great Britain, Ordnance Survey [organisation]","Brecon Beacons and Glamorgan walks","","Pathfinder guide","18 [Pathfinder guide]","England","Norwich","Jarrold","2000","","96 pages, colour illustrations, colour maps, 23 cm","YK.2000.a.4295","Trails--Wales--Brecon Beacons National Park--Guidebooks ; Glamorgan (Wales)--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks ; Trails--Wales--Glamorgan--Guidebooks","Guidebook","English","Includes index ; Published in association with Ordnance Survey"
"914.29","014547018","Monograph","Language material ; Text","Volume","GBB023707","9781841146454","Smith, Roland","1944-","person","","Smith, Roland, 1944- [person] ; Brecon Beacons National Park Authority [organisation]","Enjoying the Brecon Beacons National Park","","","","England","Wellington","Halsgrove","2007","","80 pages, colour illustrations, colour maps, 21 cm","YK.2009.a.35879","Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Published in association with Brecon Beacons National Park"
"914.2904858","008815568","Monograph","Language material ; Text","Volume","GB8950484","9780950673318","Hughes, H. Harold (Henry Harold)","1864-1940","person","","Snowdonia National Park Society [organisation] ; Hughes, H. Harold (Henry Harold), 1864-1940 [person] ; North, Herbert L. (Herbert Luck), 1871-1941 [person]","The old Churches of Snowdonia","","","","Wales","Capel Curig","Snowdonia National Park Society","1984","Reissue, additional materials Snowdonia National Park Society","xxx, 309, 35 leaves of plates (1 folded), illustrations, plans, 20 cm","1551/705","Wales--Churches--Catalogues ; Churches--Wales","","English","Authors: Harold Hughes and Herbert L. North ; Maps on lining papers ; Previous edition: Bangor : Jarvis & Foster, 1924"
"914.292","010945585","Monograph","Language material ; Text","Volume","GB6921331","9780117100282","","","","","Eldin, Herbert Leeson [person]","Snowdonia","","","","England","London","H.M.S.O","1969","4th edition, edited by Herbert L. Edlin","vii, 106 pages, 35 plates, illustrations (some colour), maps (some colour), 22 cm","","Snowdonia National Park (Wales)--Guidebooks","","English","Previous edition (B63-11948) 1963 ; colour maps on lining papers"
"914.2923","009926049","Monograph","Language material ; Text","Volume","GB7211175","9780950228303","Jones, Ivor Wynne","","person","","Jones, Ivor Wynne [person]","Betws-y-Coed, the mountain resort in the Snowdonia National Park, 1972-73, 74/75","","","","Scotland","Dunlop Street, Glasgow C1 ; Glasgow","Hay Nisbet & Miller","1972","","1, 60, 4 pages (2 folded), illustrations (some colour), 2 maps (1 colour), 19 cm","X.0708/302","Betws-y-coed, Caernarvonshire--Description--Guidebooks ; Caernarvonshire--Betws-y-coed--Guidebooks","Guidebook","English",""
"914.2925","010726692","Monograph","Language material ; Text","Volume","GB99U9488","9780750922678","Roberts, Jim","","person","","Roberts, Jim [person]","Snowdonia in old photographs","","Britain in old photographs","","England","Stroud","Sutton","2000","","159 pages, chiefly illustrations, portraits, 25 cm","YK.2002.a.15503","Snowdonia National Park (Wales)--History ; Snowdonia (Wales)--Social conditions--Pictorial works ; Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Description and travel--Pictorial works","Pictorial work","English",""
"914.2925","011563257","Monograph","Language material ; Text","Volume","GB6016862","","Lamb, Janet","","person","","Lamb, Janet [person]","Visitors guide to the Snowdonia National Park","","","","United Kingdom","","National Park Advisory Committee by Constaple","1960","","58 pages, illustrations, 22 cm","","","","English",""
"914.2925","014647890","Monograph","Language material ; Text","Volume","GBA878845","9781841147697","Rawson, Jerry","","person","","Rawson, Jerry [person]","A vision of Snowdonia","","","","England","Wellington","Halsgrove","2008","","1 volume, chiefly colour illustrations, 23 x 31 cm","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Description and travel","Pictorial work","English",""
"914.292500222","015426886","Monograph","Language material ; Text","Volume","GBA9B3396","9780711229730","Gillham, John","1947-","person","","Gillham, John, 1947- [person]","The pictorial guide to the mountains of Snowdonia. 1. The northern peaks","","","","England","London","Frances Lincoln","2010","","1 volume, colour illustrations, maps (some colour), 17 cm","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Guidebooks","Pictorial work","English",""
"914.292500222","015426888","Monograph","Language material ; Text","Volume","GBA9B3398","9780711230620","Gillham, John","1947-","person","","Gillham, John, 1947- [person]","The pictorial guide to the mountains of Snowdonia. 2. The western peaks","","","","England","London","Frances Lincoln","2010","","1 volume, colour illustrations, maps (some colour), 17 cm","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Guidebooks","Pictorial work","English",""
"914.292500222","015674078","Monograph","Language material ; Text","Volume","GBB0C4864","9780711231351","Gillham, John","1947-","person","","Gillham, John, 1947- [person]","The pictorial guide to the mountains of Snowdonia. 3. The eastern peaks","","","","England","London","Frances Lincoln","2011","","1 volume, colour illustrations, maps (some colour), 17 cm","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Guidebooks","Pictorial work","English",""
"914.292500222","015674079","Monograph","Language material ; Text","Volume","GBB0C4865","9780711231368","Gillham, John","1947-","person","","Gillham, John, 1947- [person]","The pictorial guide to the mountains of Snowdonia. 4. The southern peaks","","","","England","London","Frances Lincoln","2011","","1 volume, colour illustrations, maps (some colour), 17 cm","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Guidebooks","Pictorial work","English",""
"914.292504857","009465184","Monograph","Language material ; Text","Volume","GB7523045","9780859321341","Jewitt, D. B.","","person","","Jewitt, D. B. [person] ; Farquharson-Coe, A. [person]","Snowdonia = Eryri","","Viewing Wales series","","England","Consols House, St Ives, Cornwall ; St Ives, Cornwall","James Pike","1975","","32 pages, illustrations, 1 map, 21 cm","X.709/30088","Snowdonia National Park--Description and travel--Guide-books ; Gwynedd--National parks--Snowdonia National Park--1970-1979","","English",""
"914.292504857","011987675","Monograph","Language material ; Text","Volume","GB8200221","9780706361568","Duerden, Frank","","person","","Duerden, Frank [person]","Great walks of North Wales","","","","England","London","Ward Lock","1982","","192 pages, illustrations, maps, 18 cm","X.808/37025","Snowdonia National Park (Wales)--Guide-books ; Gwynedd--National parks--Snowdonia National Park--Walkers' guides","","English","Includes index"
"914.292504857","012637200","Monograph","Language material ; Text","Volume","GB8440939","9780709014560","Marsh, Terry","1943-","person","","Marsh, Terry, 1943- [person]","The summits of Snowdonia : a guide to the 600-metre mountain of Snowdonia","","","","England","London","Hale","1984","","191 pages, illustrations, maps, 23 cm","X.809/61505","Snowdonia National Park (Wales)--Guide-books ; Gwynedd--National parks--Snowdonia National Park--Walkers' guides","","English","bibliography: p185. _ Includes index"
"914.292504858","008090250","Monograph","Language material ; Text","Volume","GB8710630","9780715387344","Condry, William","1918-1998","person","","Condry, William, 1918-1998 [person]","Snowdonia","","","","England","Newton Abbot","David & Charles","1987","","198 pages, 8 pages of plates, illustrations (some colour), 23 cm","YC.1987.b.4289","Gwynedd--National parks--Snowdonia National Park ; Snowdonia National Park (Wales)--Description and travel--Guide-books","","English",""
"914.292504858","010749079","Monograph","Language material ; Text","Volume","GB8700315","9780863501371","Styles, Showell","1908-2005","person","","Styles, Showell, 1908-2005 [person]","Snowdonia National Park","","Official guide / Countryside Commission","","England","Exeter","Webb & Bower","1987","","128 pages, colour illustrations, 1 colour map, 1 colour plan, 20 cm","YK.1987.a.3448","Gwynedd--National parks--Snowdonia National Park ; National parks and reserves--England--Guide-books ; Snowdonia National Park (Wales)--Description and travel--Guide-books","","English","bibliography: p123. _ Includes index"
"914.292504858","011190285","Monograph","Language material ; Text","Volume","GB8601159","","Smith, P. G. (Peter Graham)","1935-","person","","Smith, P. G. (Peter Graham), 1935- [person]","Discover Snowdonia","","","","England","Wolverhampton ; York Ave, Finchfield, Wolverhampton WV3 9BX","P.G. Smith","1982","","20 pages, illustrations, maps, 22 cm","X.809/66917","Gwynedd--National parks--Snowdonia National Park ; Snowdonia National Park (Wales)--Description and travel--Guide-books","","English","Cover title ; Text on inside covers"
"914.292504858","011987675","Monograph","Language material ; Text","Volume","GB8200221","9780706361568","Duerden, Frank","","person","","Duerden, Frank [person]","Great walks of North Wales","","","","England","London","Ward Lock","1982","","192 pages, illustrations, maps, 18 cm","X.808/37025","Snowdonia National Park (Wales)--Guide-books ; Gwynedd--National parks--Snowdonia National Park--Walkers' guides","","English","Includes index"
"914.292504858","011987836","Monograph","Language material ; Text","Volume","GB8610737","9780706364453","Duerden, Frank","","person","","Duerden, Frank [person]","North Wales","","Great walks","","England","London","Ward Lock","1986","","192 pages, colour illustrations, maps, 20 cm","YC.1988.b.75","Hiking--Wales--Snowdonia National Park--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks ; Gwynedd--Snowdonia--Walkers' guides","","English","Includes index"
