"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"The secret life of Snowdonia","","011980918","Monograph","Language material ; Text","Volume","GB9103142","9780701136864","Leach, Michael","","person","","Leach, Michael [person]","","","England","","Chatto & Windus","1991","","128 pages","574.942925","LB.31.a.3326","Natural history ; Snowdonia National Park (Wales) ; Gwynedd (Wales) ; Natural history--Wales--Snowdonia National Park","","English",""
"The secret life of the Cairngorms","Cairngorms","019496816","Monograph","Language material ; Still image ; Text","Volume","GBB9D6005","9781912240807","Howard, Andy","","person","author ; photographer","Howard, Andy, author ; photographer [person]","","","Scotland","Inverness","Sandstone Press","2019","","volumes, 197 pages, chiefly colour illustrations, 25 cm","591.941240222","LC.31.a.25338","Animals--Scotland--Cairngorms National Park--Pictorial works","Pictorial work","English",""
"The shining levels. The story of a man who went back to nature. Drawings by Elizabeth Trimby","","003988202","Monograph","Language material ; Text","Volume","","9780713805604","Wyatt, John, Head Warden, Lake District National Park","","person","","Wyatt, John, Head Warden, Lake District National Park [person]","","","England","London","Geoffrey Bles","1973","","210 pages, 20 cm","","X.329/6837","","","English",""
"The smouldering of peat","","016422363","Monograph","Language material ; Text","Online resource","","","Scott, Kathleen","","person","author","University of Manchester [organisation] ; Daou, Joel [person] ; Scott, Kathleen, author [person]","","","United Kingdom","","University of Manchester","2013","","1 online resource","541","570278","","","English",""
"The special landscape qualities of the Cairngorms National Park","","015632584","Monograph","Language material ; Text","Volume","GBB170423","9781853976278","","","","","Scottish Natural Heritage (Agency) [organisation] ; Cairngorms National Park Authority [organisation]","Commissioned report","number 375 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2010","","iii, 30 pages, colour maps, 30 cm","333.78309411","OPA.2011.x.983","Landscape assessment--Scotland--Cairngorms National Park ; Cairngorms National Park (Scotland)","","English","' (iBids and Project number 648) . Produced in partnership with The Cairngorms National Park Authority.' ; Spiral bound"
"The special landscape qualities of the Loch Lomond and the Trossachs National Park","","015628281","Monograph","Language material ; Text","Volume","GBB097439","","","","","","Scottish Natural Heritage (Agency) [organisation] ; Loch Lomond and the Trossachs National Park Authority [organisation]","Commissioned report","number 376 [Commissioned report]","Scotland","Inverness","","2010","","iii, 63 pages, colour illustrations, colour map, 30 cm","","","Loch Lomond and the Trossachs National Park (Scotland) ; Landscape assessment--Scotland--Loch Lomond and the Trossachs National Park","","English","' (iBids and Project number 648) .' ; Produced in partnership with The Loch Lomond and Trossachs National Park Authority.'"
"The special landscape qualities of the Loch Lomond and the Trossachs National Park","","015628408","Monograph","Language material ; Text","Volume","GBB139666","9781853976285","","","","","Scottish Natural Heritage (Agency) [organisation] ; Loch Lomond and the Trossachs National Park Authority [organisation]","Commissioned report","number 376 [Commissioned report]","Scotland","Inverness","","2010","","iii, 63 pages, colour illustrations, 2 colour maps, 30 cm","333.73094142","YK.2011.b.5538","Loch Lomond and the Trossachs National Park (Scotland) ; Landscape assessment--Scotland--Loch Lomond and the Trossachs National Park","","English","' (iBids and Project number 648) .' ; 'Produced in partnership with The Loch Lomond and the Trossachs National Park Authority.'--T.p"
"The special landscape qualities of theCairngorms National Park","","015672897","Monograph","Language material ; Text","Volume","GBB0C4125","","","","","","Scottish Natural Heritage (Agency) [organisation] ; Cairngorms National Park Authority [organisation]","Commissioned report","number 375 [Commissioned report]","Scotland","Inverness","","2010","","iii, 30 pages, colour map, 30 cm","","","Landscape assessment--Scotland--Cairngorms National Park ; Cairngorms National Park (Scotland)","","English","' (iBids and Project number 648) .' ; Produced in partnership with The Cairngorms National Park Authority.'"
"The spread of Rhododendron Ponticum : a national problem : Discussion conference : Transcript","","006002009","Monograph","Language material ; Text","Volume","","","","","","","Gritten, R., editor [person]","","","","","Snowdonia National Park","1987","","","","q89/10205","rhododendron ponticum","","English",""
"The state of the Park 2004","Cyflwr y Parc 2004","012996466","Monograph","Language material ; Text","Volume","GBA467948","","","","","","Pembrokeshire Coast National Park Authority [organisation]","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","2004","","32, 32 pages, illustrations, maps, 30 cm","","","Pembrokeshire Coast National Park (Wales) ; National parks and reserves--Wales--Pembrokeshire","","English ; Welsh","Teitl clawr = Cover title"
"The story of the Broads","","012246977","Monograph","Language material ; Text","Volume","GB7028736","9780902887039","Stephenson, Frank","1911-","person","","Stephenson, Frank, 1911- [person]","","","England","Blakeney","F. Stephenson","1969","","14 pages, illustrations, 18 cm","914.261","","Broads, The (England)","","English",""
"The summits of Snowdonia : a guide to the 600-metre mountain of Snowdonia","","012637200","Monograph","Language material ; Text","Volume","GB8440939","9780709014560","Marsh, Terry","1943-","person","","Marsh, Terry, 1943- [person]","","","England","London","Hale","1984","","191 pages, illustrations, maps, 23 cm","914.292504857 ; 914.292504858","X.809/61505","Snowdonia National Park (Wales)--Guide-books ; Gwynedd--National parks--Snowdonia National Park--Walkers' guides","","English","bibliography: p185. _ Includes index"
"The summits of Snowdonia : a guide to the 600-metre mountains of Snowdonia","","012305557","Monograph","Language material ; Text","Volume","GB9359108","9780709052487","Marsh, Terry","1943-","person","","Marsh, Terry, 1943- [person]","","","England","London","Hale","1993","","191 pages, illustrations, maps, 22 cm","914.292504858","","Snowdonia National Park (Wales)--Guide-books ; Travel ; Gwynedd (Wales)","","English","bibliography: p185. - Includes index"
"The survival of hill farming in the Lake District National Park : a sociological approach","","009784803","Monograph","Language material ; Text","Online resource","","","Walsh, Katharine Mary","","person","","Walsh, Katharine Mary [person]","","","","","University of Essex","1991","","","301 ; 338.1 ; 361 ; 910","302795","Agricultural economics ; Human services ; Sociology ; Geography ; Agricultural industries ; Rural areas land utilisation","","English",""
"The sustainable carbon management of moorlands : spatial distribution and accumulation of carbon on Dartmoor, southwest England","","016097722","Monograph","Language material ; Text","Online resource","","","Parry, Lauren Elizabeth","","person","","Parry, Lauren Elizabeth [person] ; University of Exeter [organisation]","","","United Kingdom","","University of Exeter","2011","","1 online resource","551.9","546885","","","English",""
"The tarns of Lakeland","","006746031","Monograph","Language material ; Text","Volume","GB9576362","9781852841713","Nuttall, John","","person","","Nuttall, Anne [person] ; Nuttall, John [person]","A Cicerone guide","","England","Milnthorpe","Cicerone","1995","","240 pages, illustrations, maps, 18 cm","796.51094278","YK.1995.a.6456","Lake District National Park (England)--Guidebooks ; Cumbria (England) ; Walking recreations ; Walking--Lake District National Park (England)--Guidebooks ; Walking--England--Lake District--Guidebooks ; Lake District (England)--Guidebooks","","English",""
"The tarns of Lakeland. Vol. 2. East","","012028695","Monograph","Language material ; Text","Volume","GB96Z5590","9781852842109","Nuttall, John","","person","","Nuttall, Anne [person] ; Nuttall, John [person]","A Cicerone guide","","England","Milnthorpe","Cicerone","1996","","240 pages, illustrations, maps, 18 cm","914.27804859","YK.1996.a.21739","Lake District National Park (England)--Guidebooks ; Cumbria (England) ; Travel ; Walking--Lake District National Park (England)--Guidebooks ; Walking--England--Lake District--Guidebooks ; Lake District (England)--Guidebooks","","English","Includes index"
"The use of remote sensing techniques in the detection of upland vegetation communities in the North York Moors National Park","","019067404","Monograph","Language material ; Text","Online resource","","","Kardono, Priyadi","","person","author","Kardono, Priyadi, author [person] ; Soulsby, John A. [person] ; University of St. Andrews [organisation]","","","United Kingdom","","University of St Andrews","1992","","1 online resource","581.941","750893","","","English",""
"The use of remotely sensed data for land cover classification and the investigation of land cover change in the North York Moors National Park","","020177755","Monograph","Language material ; Text","Online resource","","","Saidi, Twahiri A.","","person","author","Saidi, Twahiri A., author [person] ; University of St. Andrews [organisation]","","","United Kingdom","","University of St Andrews","1995","","1 online resource","","827393","","","English",""
"The vegetation of the Yorkshire Dales National Park","","010427544","Monograph","Language material ; Text","Volume","","9780905455297","","","","","Drewitt, A. L. (Allan L.), compiler [person] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","","","","","Yorkshire Dales National Park","1991","","","307.12 ; 580 ; 910","q93/11455","Regional planning ; Geography ; Botany ; Urban planning & rural planning","","English",""
"The visitor : your official guide to the Yorkshire Dales National Park","Visitor (Yorkshire Dales National Park Authority (North Yorkshire, England))","015745455","Serial","Language material ; Text","Volume","GBB116696","","","","","","Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","","","England","Bainbridge","Yorkshire Dales National Park Authority","","","volumes, illustrations (chiefly colour), maps (some colour), portraits (some colour), 37 cm","914.2841","ZK.9.d.4035","Yorkshire Dales (England)--Description and travel--Periodicals ; Yorkshire Dales National Park Authority (North Yorkshire, England)--Periodicals ; Yorkshire Dales (England)--Guidebooks","Guidebook ; Periodical","English",""
"The visitor's guide to Yorkshire Dales & North Pennines","","010734536","Monograph","Language material ; Text","Volume","GB8953559","9780861903481 ; 9780861903498","Spencer, Brian","","person","","Spencer, Brian [person]","","","England","Ashbourne","Moorland","1990","3rd edition, revised and enlarged","253 pages, illustrations (some colour), maps, 18 cm","914.28404858","YC.1990.a.8175","North Yorkshire--Dales ; North Yorkshire (England)--Guidebooks ; Yorkshire Dales National Park (England)--Guide-books","Guidebook","English","Includes index ; Previous edition: i.e.revisededition1986"
"The visitor's guide to the Yorkshire Dales, Teesdale & Weardale","","010121907","Monograph","Language material ; Text","Volume","GB8607860","9780861901548 ; 9780861901555","Spencer, Brian","","person","","Spencer, Brian [person]","","","England","Ashbourne","Moorland","1986","Revised edition","156 pages, 8 pages of plates, illustrations (some colour), maps, 22 cm","914.28404858","YC.1986.a.5928","North Yorkshire--Dales ; North Yorkshire (England)--Guidebooks ; Yorkshire Dales National Park (England)--Guide-books","Guidebook","English","Previous edition: 1982 ; bibliography: p148. _ Includes index"
"The vulnerability of broad vegetation community types to climate and land use change within Northumberland National Park","","017562337","Monograph","Language material ; Text","Online resource","","","Ovens, Christopher","","person","author","University of Northumbria at Newcastle [organisation] ; Carlisle, Bruce [person] ; Ovens, Christopher, author [person]","","","United Kingdom","","Northumbria University","2015","","1 online resource","581.7","664666","","","English",""
"The wildflowers of Deep Dale : a circular 4 mile walk in the Peak District National Park","","016593379","Monograph","Language material ; Still image ; Text","Volume","GBB401088","9781907141713","","","","","Plantlife, publisher [organisation]","Plantlife wildflower walks","","England","Salisbury, Wiltshire","Plantlife","2012","","1 folded sheet (unnumbered pages), colour illustrations, 1 map (colour), 30 x 42 cm folded to 21 x 10 cm","581.942513","YK.2014.a.340","Walking--England--Deep Dale Nature Reserve ; Wild flowers--England--Deep Dale Nature Reserve--Identification","","English",""
"Thirlwall Castle.\Northumberland. Documentary survey","","008303078","Monograph","Language material ; Text","Volume","","9780907632382","","","","","","","","","","Northumberland National Park","2001","","","","","","","",""
"Thirlwall castle, Northumberland (OS grid ref.NY 659 662) documentary survey","","007447485","Monograph","Language material ; Text","Volume","GBA229810","9780907632382","","","","","Northumberland National Park Authority [organisation] ; University of Newcastle upon Tyne [organisation]","","","England","Hexham","Northumberland National Park Authority","2001","","65 pages, illustrations (some colour), maps (some colour), 30 cm","728.8109442881","YC.2002.b.1240","Thirlwall Castle","","English",""
"Thirty illustrated Hampshire and the New Forest walks","30 illustrated Hampshire & the New Forest walks ; Hampshire & the New Forest walks ; Hampshire walks","016085605","Serial","Language material ; Text","Volume","GBB327470","","","","","","Southern Daily Echo [organisation]","","","England","Southampton","Newsquest","2012-","","illustrations (colour), colour maps, 21 cm","796.51094227","ZK.9.a.13961","Hampshire, England--Description and travel--Guidebooks ; Walking--England--New Forest National Park--Guidebooks ; Walking--England--Hampshire--Guidebooks","Guidebook","English",""
"Thirty walks in the Brecon Beacons & South Wales","30 walks in the Brecon Beacons and South Wales ; Brecon Beacons & South Wales","015682301","Monograph","Language material ; Text","Volume","GBB1C2536","9780749564308","","","","","Automobile Association (Great Britain) [organisation]","","","England","","Automobile Association","2010","","1 pack, colour illustrations, colour maps, 17 x 12 x 3 cm","796.51094296","Cup.935/1623","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Walking--Wales, South--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","'Walks of 2 to 10 miles' - back of case ; 31 cards in plastic wallet, held in case ; Title from front of case"
"Thirty-one walks on the borders of Lakeland","Walks on the borders of Lakeland","012028655","Monograph","Language material ; Text","Volume","GB9527563","9781852841621","Gambles, Robert","1923-","person","","Richardson, Beryl, approximately 1948-2002 [person] ; Reading, H. William [person] ; Gambles, Hanna [person] ; Gambles, Robert, 1923- [person] ; Woods, Margaret [person]","","","England","Milnthorpe","Cicerone","1994","","144 pages, 8 pages of plates","914.27804859","YK.1995.a.3018","Lake District National Park (England)--Guidebooks ; Cumbria (England) ; Travel ; Walking--Lake District National Park (England)--Guidebooks ; Walking--England--Lake District--Guidebooks ; Lake District (England)--Guidebooks","","English",""
"Three Peaks Project : monitoring handbook","","006252398","Monographic component part","Language material ; Text","Volume","","","Bayfield, N. G.","","person","","Banchory Research Station [organisation] ; Bayfield, N. G. [person]","","","","","Banchory Research Station","1988","","","307.12 ; 577","4588.558000","Ecology ; Urban planning & rural planning ; Regional planning ; Countryside footpaths","","English",""
"Three Peaks and Malham","","020122831","Monograph","Language material ; Still image ; Text","Volume","GBC135337","9781907626333","Hannon, Paul","1957-","person","author","Hannon, Paul, 1957-, author [person]","Short scenic walks","","England","Keighley","Hillside Publications","2021","","1 volume, colour illustrations, 15 cm","796.51094284","","Walking--England--Yorkshire Dales National Park--Guidebooks ; Yorkshire Dales National Park (England)--Guidebooks","Guidebook","English",""
"Three circular walks around Dale and St Ishmael's","","007236335","Monograph","Language material ; Text","Volume","GB9473337","","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","16 pages, illustrations, maps, 21 cm","796.510942962","YK.1995.a.1238","Walking--Wales--St Ishmael's Region--Guidebooks ; Dale Region (Dyfed, Wales)--Guidebooks ; Walking--Wales--Dale Region--Guidebooks ; Walking recreations ; Dyfed (Wales) ; St Ishmael's Region (Wales)--Guidebooks","","English",""
"Three circular walks around Marloes & St Brides","","007236334","Monograph","Language material ; Text","Volume","GB9473336","","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","16 pages, illustrations, maps, 21 cm","914.2962","YK.1995.a.1671","Dyfed (Wales) ; Walking--Wales--Marloes Region ; Walking--Wales--St Brides Region ; Travel ; Marloes Region (Wales)--Guidebooks ; St Brides Region (Wales)--Guidebooks","","English",""
"Through rose tinted glasses","","020300962","Monograph","Language material ; Text","Online resource (ePub ebook)","GBC1D8242","9781839757778","Johnson, Mon A.","","person","author","Johnson, Mon A., author [person]","","","England","Tolworth","Grosvenor House","2021","","1 online resource","823.92","","Broads, The (England)--Fiction ; Norwich (England)--Fiction","Fiction ; Romance fiction","English",""
"Tile and slate roofing","","014509739","Monograph","Language material ; Text","Volume","","","","","","","","Historic buildings","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"Timber frames and roofs","","014509748","Monograph","Language material ; Text","Volume","","","","","","","","Historic buildings","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"Tony Garner's enchanted light : pastels of Norfolk & The Broads","Enchanted light","015612310","Monograph","Language material ; Text","Volume","GBB090573","9781906690267","Garner, Tony","1944-","person","","Hill, Adrian, Owner of Picturecraft Gallery [person] ; Garner, Tony, 1944- [person]","","","England","Wellington","Halstar","2010","","128 pages, colour illustrations, 25 x 27 cm","741.235","LC.31.a.10575","Broads, The (England)--Pictorial works ; Pastel drawing, British ; Norfolk (England)--Pictorial works ; Landscape drawing, British","Pictorial work","English",""
"Tourism and recreation","","014509818","Monograph","Language material ; Text","Sheet","GBA8C7510","","","","","","New Forest National Park Authority [organisation]","","","England ; United Kingdom","","New Forest National Park Authority","2007","","folded sheets, colour illustrations, 30 cm","914.2275","YK.2008.b.6237 ; YK.2008.b.6238 ; YK.2008.b.6239","Tourism--England--New Forest (Forest) ; Recreation--England--New Forest (Forest)","","English",""
"Tourism in Pembrokeshire : Background data","","012335319","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","790 ; 796 ; 910","OP-LG/4491","Tourism ; Sport & Recreation ; Sports","","English",""
"Tourist map of the Norfolk Broads","Lucas books Tourist map of the Norfolk Broads ; Road map of the Broads","014049867","Monograph","Cartographic image ; Cartographic material","Sheet","","9781903797785","G.I. Barnett & Son","","organisation","","G.I. Barnett & Son [organisation]","","","England","Norfolk","Lucas","2008","","1 map, colour, 57 x 47 cm","912.42617","Maps X.9881","Broads, The (England)--Maps","Map","English","'Mapping sourced from Ordnance Survey' -- back cover ; Includes index ; No relief shown"
"Tourist map of the Peak District","Peak District : one inch tourist map ; Peak District, showing National Park boundary","019709995","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","","","England","Southampton","Survey","1971","","1 map, colour, 97 x 75 cm, folded in cover 22 x 13 cm","912.42511","Maps.2020.d.77","Peak District National Park (England)--Maps ; England--Peak District ; Peak District (England)--Maps ; England--Peak District National Park","Map","English","'Major roads revised 1971.' ; Relief shown by contours, shading, gradient tints and spot heights"
"Tourists' guide to the Dartmoor and Exmoor National Parks : including the Quantocks","","007439860","Monograph","Language material ; Text","Volume","GB8302917","9780906570036","","","","","","","","England","Bristol","Regional Publications","1980","","80 pages, illustrations, 1 colour map, 21 cm","914.235304857 ; 914.235304858 ; 914.238504857 ; 914.238504858","X.809/53648","England--Exmoor ; Exmoor (England)--Description and travel--Guide-books ; Dartmoor (England)--Description and travel--Guide-books ; Devon--Dartmoor","","English","bibliography: p79. _ Includes index"
"Towards a recreation strategy for Broadland : report of the Recreation Working Group","","011180796","Monograph","Language material ; Text","Volume","GB8336390","","Broads Authority, Recreation Working Group","","organisation","","Broads Authority, Recreation Working Group [organisation]","BA SMP","7 [BA SMP]","England","Norwich ; Thorpe Lodge, Yarmouth Road, Norwich NR7 0DU","Broads Authority","1981","","66 pages, illustrations, 30 cm","333.780942617","X.622/16513","Norfolk Broads--Recreation facilities ; Broads, The (England)--Recreational use","","English",""
"Town & Country Planning Act, 1947; National Parks and Access to the Countryside Act, 1949. Peak District National Park Development Plan. Written statement ... of the Peak Park Planning Board Development Plan as modified by the Minister of Housing and Local Government, etc","","001113961","Monograph","Language material ; Text","Volume","","","Great Britain, Ministry of Housing and Local Government","","organisation","","Great Britain, Ministry of Housing and Local Government [organisation] ; Great Britain, Peak Park Planning Board [organisation] ; England [organisation]","","","England","London","","1959","","7 pages, 33 cm","","B.S.116/48","","","English",""
"Town and Country Planning Act 1947. National Parks and Access to the Countryside Act 1949. Peak District National Park Development Plan. Report and analysis of survey","","004909514","Monograph","Cartographic image ; Language material","Volume","","","","","","","","","","England","Bakewell","","1955","","119 pages (folio)","","Maps 1125. (48.) ; Maps 34.b.94 ; Maps 34.c.35","PEAK, Derbyshire (Environs)--Planning ---Maps and charts--1955","Map","",""
"Town and Country Planning Act, 1962. National Parks and Access to the Countryside Act, 1949. Peak District National Park development plan. First review. Report and analysis of survey","","005013993","Monograph","Language material ; Text","Volume","","","Peak Park Joint Planning Board","","organisation","","Peak Park Joint Planning Board [organisation]","","","England","Bakewell","Peak Park Planning Board","1966","","1 atla (124 pages), maps, 33 cm","","Maps 34.b.93","Peak, Derbyshire : environs--Planning ---atlases--1966","Atlas","English",""
"Traditional homes of the South Downs National Park : an introduction","","018400684","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBC0G1420","9780904973266","Hughes, Annabelle","","person","author","Hughes, Annabelle, author [person] ; Sussex Archaeological Society, publisher [organisation]","","","England","Lewes","Sussex Archaeological Society","2016","","vii, 86 pages, illustrations (black and white and colour), colour maps, 18 x 23 cm","728.37094226","YKL.2019.a.13872","Cottages--England--South Downs National Park","","English","South Downs series"
"Traeth Poppit i Drefdraeth = Poppit Sands to Newport","Poppit Sands to Newport","014050484","Monograph","Language material ; Text","Sheet","GBA778530","","Pembrokeshire Coast National Park Authority","","organisation","","Pembrokeshire Coast National Park Authority [organisation]","Pembrokeshire Coast National Park Trail","1 [Pembrokeshire Coast National Park Trail]","Wales","","Pembrokeshire Coast National Park","2006","","1 sheet, illustrations, maps, 42 x 30 cm folded to 15 x 11 cm","","","Pembrokeshire (Wales)--Guidebooks ; Trails--Wales--Pembrokeshire--Newport--Guidebooks ; Walking--Wales--Pembrokeshire--Newport--Guidebooks ; Trails--Wales--Pembrokeshire--Poppit Sands--Guidebooks ; Walking--Wales--Pembrokeshire--Poppit Sands--Guidebooks","Guidebook","English ; Welsh",""
"Traffic free in the Brecon Beacons : fun cycling for all the family in and around the Brecon Beacons National Park = Yn ddi-draffig ym Mannau Brycheiniog : beicio'n hwyl i'r teulu i gyd ym Mharc Cenedlaethol Bannau Brycheiniog ac o'i gwmpas","Yn ddi-draffig ym Mannau Brycheiniog : beicio'n hwyl i'r teulu i gyd ym Mharc Cenedlaethol Bannau Brycheiniog ac o'i gwmpas","015120575","Monograph","Language material ; Text","Volume","GBA941319","","","","","","Brecon Beacons National Park Authority [organisation]","","","Wales","Brecon","Brecon Beacons National Park","2009","","6 pages, colour illustrations, colour map, 21 cm","","","Brecon Beacons National Park (Wales) ; Bicycle trails--Wales--Brecon","","English ; Welsh",""
"Trail (Bretton, England)","Complete guide to Snowdonia : unlock the finest walks, greatest sights and wildest places in Wales' most spectacular national park ; The complete guide to Snowdonia","017146866","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB6J5942","","Weeks, Ben","","person","author","Weeks, Ben, author [person] ; Ingram, Simon, editor [person] ; Reed, Oli, editor [person]","","","England","Peterborough","Bauer Consumer Media","2015","","99 pages, illustrations (black and white and colour), colour maps, 30 cm","796.510942925","YK.2016.b.1128","Hiking--Wales--Snowdonia National Park--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks","Guidebook","English","'From the makers of Trail magazine.'"
"Transforming Heritage Practice in the 21st Century : Contributions from Community Archaeology","","019447757","Monograph","Language material ; Text","Online resource","GBB9C8674","9783030143275","","","","","Jameson, John H., editor [person] ; Musteață, Sergiu, editor [person]","One World Archaeology","","Switzerland","Cham","Springer","2019","","1 online resource (xiv, 460 pages), illustrations (some colour)","930.1","ELD.DS.434142","Community archaeology","","English",""
"Travelguides : a better walk : 6 glorious walks set to the south east of the Peak District National Park","Fringes of the Peak District","013067325","Monograph","Language material ; Text","Sheet","GBA622337","","Lewin, Peter","","person","","Lewin, Peter [person] ; Birkinshaw, Bill [person]","","","England","Little Eaton, Derby","Travelguides","2004-","","portfolios, colour maps, 22 cm","914.25110486","YK.2006.a.5283","Walking--England--Peak District--Guidebooks ; Trails--England--Peak District--Guidebooks ; Peak District (England)--Guidebooks","Guidebook","English","Description based on pack number 1 (2004) ; Title from cover of pack"
"Tree pruning : advice on proper tree care","","014527010","Monograph","Language material ; Text","Volume","","","","","","","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"Trefdraeth i Ben Strwmbl = Newport to Strumble Head","Newport to Strumble Head","014050483","Monograph","Language material ; Text","Sheet","GBA778529","","Pembrokeshire Coast National Park Authority","","organisation","","Pembrokeshire Coast National Park Authority [organisation]","Pembrokeshire Coast National Park Trail","2 [Pembrokeshire Coast National Park Trail]","Wales","","Pembrokeshire Coast National Park","2006","","1 sheet, illustrations, maps, 42 x 30 cm folded to 15 x 11 cm","","","Pembrokeshire (Wales)--Guidebooks ; Trails--Wales--Pembrokeshire--Newport--Guidebooks ; Trails--Wales--Pembrokeshire--Strumble Head--Guidebooks ; Walking--Wales--Pembrokeshire--Newport--Guidebooks ; Walking--Wales--Pembrokeshire--Strumble Head--Guidebooks","Guidebook","English ; Welsh",""
"Triparks : six artists in three national parks","","015717422","Monograph","Language material ; Text","Volume","GBB1B7137","9780956611406","","","","","Povall, Richard [person] ; Aune Head Arts (Organization) [organisation]","","","England","Yelverton","Aune Head Arts","2010","","37 pages, colour illustrations, maps, 18 cm","759.2","YK.2011.a.29398","Landscape painting, English--21st century ; Northumberland National Park (England)--In art ; Dartmoor National Park (England)--In art ; Exmoor National Park (England)--In art","","English",""
"Troedio llwybrau natur ym Mharc Cenedlaethol Bannau Brycheiniog : detholiad o deithiau cerdded i'r teulu gyda mapiau","","015269260","Monograph","Language material ; Text","Volume","GBA953316","9780905293165","Butler, Daniel","1963-","person","","Butler, Daniel, 1963- [person]","","","Wales","Aberhonddu","Parc Cenedlaethol Bannau Brycheiniog","2006","","32 pages, colour illustrations, maps, 21 cm","","","Walking--Wales--Brecon Beacons--Guidebooks ; Trails--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks ; Brecon Beacons (Wales)--Guidebooks","Guidebook","Welsh","'Ysgrifennwyd y llyfryn hwn gan Daniel Butler' - tu fewn i'r clawr cefn = inside back cover ; Fersiwn Saesneg hefyd ar gael = English version also available: Wildlife walks in Brecon Beacons National Park"
"Troedio llwybrau natur ym Mharc Cenedlaethol Bannau Brycheiniog : detholiad o deithiau cerdded i'r teulu gyda mapiau","","015269261","Monograph","Language material ; Text","Volume","GBA953317","9780905293165","Butler, Daniel","1963-","person","","Butler, Daniel, 1963- [person]","","","Wales","Aberhonddu","Parc Cenedlaethol Bannau Brycheiniog","2006","","32 pages, colour illustrations, maps, 21 cm","","","Walking--Wales--Brecon Beacons--Guidebooks ; Trails--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks ; Brecon Beacons (Wales)--Guidebooks","Guidebook","Welsh","'Ysgrifennwyd y llyfryn hwn gan Daniel Butler' - tu fewn i'r clawr cefn = inside back cover ; Fersiwn Saesneg hefyd ar gael = English version also available: Wildlife walks in Brecon Beacons National Park"
"Troi'ch gardd yn wyllt","Go wild in your garden","013022894","Monograph","Language material ; Text","Sheet","GBA476483","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","","","Wales","Brecon","Brecon Beacons National Park","2004","","1 sheet, 21 cm","","","Endangered species--Wales--Brecon Beacons ; Wildlife conservation--Wales--Brecon Beacons","","English ; Welsh",""
"Tryfan and Glyder Fach","","012026603","Monograph","Language material ; Text","Volume","GB7714353","9780901601209","Moulam, A. J. J. (Anthony John James)","1927-","person","","Moulam, A. J. J. (Anthony John James), 1927- [person]","Guides to Wales / Climbers' Club","","Scotland","Dunblane ; Knighton Church Road, Leicester ; Leicester","Climbers' Club ; Cordee Publishing","1973","4th edition, with diagrams by R.B. Evans","2, 159 pages, illustrations, maps (on lining papers), 16 cm","796.522","7923.aa.14/33","Rock climbing--Wales--Snowdonia National Park--Guidebooks ; Gwynedd--Glyder Fach & Tryfan--Rock climbing","","English","Includes index ; Previous edition: London : Climbers' Club, 1966"
"Tryfan","","004995170","Monograph","Cartographic image ; Cartographic material","Sheet","","","Overview Mapping (Firm)","","organisation","","Getmapping [organisation] ; Great Britain, Ordnance Survey [organisation] ; Overview Mapping (Firm) [organisation]","","","England","Weedon, Northamptonshire","Overview Mapping","2001","","1 map, colour, folded in cover to 19 cm","","Maps 220.a.767","Snowdonia National Park--Remote sensing ---maps--2001","Map","English","Aerial photograph overprinted with contours, footpaths and place names ; Cover title ; Published in association with Ordnance Survey and Getmapping"
